date,data
2013-12-31,187.24
2014-01-31,185.55
2014-02-28,186.32
2014-03-31,193.01
2014-04-30,193.93
2014-05-31,195.25
2014-06-30,194.06
2014-07-31,194.72
2014-08-31,198.02
2014-09-30,195.12
2014-10-31,198.28
2014-11-30,200.2
2014-12-31,196.21
2015-01-31,202.61
2015-02-28,203.81
2015-03-31,200.57
2015-04-30,204.04
2015-05-31,203.79
2015-06-30,201.94
2015-07-31,203.74
2015-08-31,199.22
2015-09-30,196.58
2015-10-31,200.25
2015-11-30,197.5
2015-12-31,196.83
2016-01-31,195.47
2016-02-29,196.11
2016-03-31,204.38
2016-04-30,206.39
2016-05-31,207.9
2016-06-30,214.92
2016-07-31,214.66
2016-08-31,217.16
2016-09-30,223.73
2016-10-31,221.84
2016-11-30,223.23
2016-12-31,226.57
2017-01-31,229.9
2017-02-28,230.47
2017-03-31,235.09
2017-04-30,240.37
2017-05-31,242.4
2017-06-30,241.75
2017-07-31,239.33
2017-08-31,241.7
2017-09-30,244.65
2017-10-31,245.72
2017-11-30,248.48
2017-12-31,249.04
2018-01-31,250.88
2018-02-28,249.95
2018-03-31,253.48
2018-04-30,256.26
2018-05-31,254.76
2018-06-30,255.46
2018-07-31,255.07
2018-08-31,256.8
2018-09-30,257.87
2018-10-31,255.91
2018-11-30,259.43
2018-12-31,263.31
2019-01-31,266.08
2019-02-28,267.73
2019-03-31,272.29
2019-04-30,271.38
2019-05-31,275.14
2019-06-30,282.82
2019-07-31,283.99
2019-08-31,286.46
2019-09-30,288.94
2019-10-31,289.31
2019-11-30,284.45
2019-12-31,288.51
2020-01-31,295.39
2020-02-29,294.5
2020-03-31,281.88
2020-04-30,288.09
2020-05-31,305.12
2020-06-30,303.44
2020-07-31,311.07
2020-08-31,312.26
2020-09-30,316.26
2020-10-31,315.01
2020-11-30,320.47
2020-12-31,323.91
2021-01-31,324.3
2021-02-28,317.32
2021-03-31,304.46
2021-04-30,306.75
2021-05-31,304.14
2021-06-30,306.38
2021-07-31,308.7
2021-08-31,310.68
2021-09-30,304.42
2021-10-31,298.85
2021-11-30,295.04
2021-12-31,299.11
2022-01-31,287.9
2022-02-28,284.08
2022-03-31,281.98
2022-04-30,274.99
2022-05-31,273.65
2022-06-30,265.23
2022-07-31,257.34
2022-08-31,263.09
2022-09-30,257.41
2022-10-31,248.56
2022-11-30,259.08
2022-12-31,261.71
