date,data,data_forecast,min_forecast,max_forecast
2013-12-31,106.43,,,
2014-01-31,108.07,,,
2014-02-28,108.27,,,
2014-03-31,107.91,,,
2014-04-30,108.59,,,
2014-05-31,109.67,,,
2014-06-30,109.4,,,
2014-07-31,108.93,,,
2014-08-31,109.98,,,
2014-09-30,109.11,,,
2014-10-31,110.08,,,
2014-11-30,110.61,,,
2014-12-31,110.12,,,
2015-01-31,112.38,,,
2015-02-28,111.2,,,
2015-03-31,111.43,,,
2015-04-30,110.86,,,
2015-05-31,110.17,,,
2015-06-30,108.78,,,
2015-07-31,109.5,,,
2015-08-31,108.92,,,
2015-09-30,109.58,,,
2015-10-31,109.45,,,
2015-11-30,108.81,,,
2015-12-31,108.01,,,
2016-01-31,109.35,,,
2016-02-29,110.09,,,
2016-03-31,110.825,,,
2016-04-30,110.89,,,
2016-05-31,110.7,,,
2016-06-30,112.615,,,
2016-07-31,113.02,,,
2016-08-31,112.57,,,
2016-09-30,112.42,,,
2016-10-31,111.3,,,
2016-11-30,108.24,,,
2016-12-31,108.06,,,
2017-01-31,108.29,,,
2017-02-28,108.77,,,
2017-03-31,108.49,,,
2017-04-30,109.25,,,
2017-05-31,109.76,,,
2017-06-30,109.51,,,
2017-07-31,109.65,,,
2017-08-31,110.45,,,
2017-09-30,109.59,,,
2017-10-31,109.47,,,
2017-11-30,109.08,,,
2017-12-31,109.33,,,
2018-01-31,108.1,,,
2018-02-28,106.77,,,
2018-03-31,107.25,,,
2018-04-30,106,,,
2018-05-31,106.46,,,
2018-06-30,106.32,,,
2018-07-31,106.06,,,
2018-08-31,106.41,,,
2018-09-30,105.52,,,
2018-10-31,104.59,,,
2018-11-30,104.88,,,
2018-12-31,106.49,,,
2019-01-31,107.46,,,
2019-02-28,107.07,,,
2019-03-31,109.07,,,
2019-04-30,108.59,,,
2019-05-31,110.4,,,
2019-06-30,111.35,,,
2019-07-31,111.3,,,
2019-08-31,114.13,,,
2019-09-30,113.17,,,
2019-10-31,113.15,,,
2019-11-30,112.86,,,
2019-12-31,112.37,,,
2020-01-31,114.65,,,
2020-02-29,116.22,,,
2020-03-31,115.37,,,
2020-04-30,117.1,,,
2020-05-31,117.265,,,
2020-06-30,118.21,,,
2020-07-31,119.56,,,
2020-08-31,118.37,,,
2020-09-30,118.000,,,
2020-10-31,117.200,,,
2020-11-30,118.42,,,
2020-12-31,118.19,,,
2021-01-31,117.3162,,,
2021-02-28,115.34,,,
2021-03-31,113.83,,,
2021-04-30,114.49,,,
2021-05-31,114.55,,,
2021-06-30,115.045,,,
2021-07-31,116.46,,,
2021-08-31,116.06,,,
2021-09-30,114.83,,,
2021-10-31,114.64,,,
2021-11-30,114.77,,,
2021-12-31,114.08,,,
2022-01-31,111.6,,,
2022-02-28,110.1994,,,
2022-03-31,106.9402,,,
2022-04-30,102.6886,,,
2022-05-31,103.2839,,,
2022-06-30,101.4943,,,
2022-07-31,103.8696,,,
2022-08-31,100.5056,,,
2022-09-30,96.1294,,,
2022-10-31,94.6839,,,
2022-11-30,98.0638,,,
2022-12-31,96.99,,,
2023-01-31,,93.32637787,,
2023-02-28,,94.93466949,,
2023-03-31,,98.38824463,,
2023-04-30,,99.75221252,,
2023-05-31,,99.20638275,,
2023-06-30,,98.80027008,,
