date,data,data_forecast,min_forecast,max_forecast
2013-12-31,98.42,,,
2014-01-31,97.49,,,
2014-02-28,102.59,,,
2014-03-31,101.58,,,
2014-04-30,99.74,,,
2014-05-31,102.71,,,
2014-06-30,105.37,,,
2014-07-31,98.17,,,
2014-08-31,95.96,,,
2014-09-30,91.16,,,
2014-10-31,80.54,,,
2014-11-30,66.15,,,
2014-12-31,53.27,,,
2015-01-31,48.24,,,
2015-02-28,49.76,,,
2015-03-31,47.6,,,
2015-04-30,59.63,,,
2015-05-31,60.3,,,
2015-06-30,59.47,,,
2015-07-31,47.12,,,
2015-08-31,49.2,,,
2015-09-30,45.09,,,
2015-10-31,46.59,,,
2015-11-30,41.65,,,
2015-12-31,37.04,,,
2016-01-31,33.62,,,
2016-02-29,33.75,,,
2016-03-31,38.34,,,
2016-04-30,45.92,,,
2016-05-31,49.1,,,
2016-06-30,48.33,,,
2016-07-31,41.6,,,
2016-08-31,44.7,,,
2016-09-30,48.24,,,
2016-10-31,46.86,,,
2016-11-30,49.44,,,
2016-12-31,53.72,,,
2017-01-31,52.81,,,
2017-02-28,54.01,,,
2017-03-31,50.6,,,
2017-04-30,49.33,,,
2017-05-31,48.32,,,
2017-06-30,46.04,,,
2017-07-31,50.17,,,
2017-08-31,47.23,,,
2017-09-30,51.67,,,
2017-10-31,54.38,,,
2017-11-30,57.4,,,
2017-12-31,60.42,,,
2018-01-31,64.73,,,
2018-02-28,61.64,,,
2018-03-31,64.94,,,
2018-04-30,68.57,,,
2018-05-31,67.04,,,
2018-06-30,74.15,,,
2018-07-31,68.76,,,
2018-08-31,69.8,,,
2018-09-30,73.25,,,
2018-10-31,65.31,,,
2018-11-30,50.93,,,
2018-12-31,45.41,,,
2019-01-31,53.79,,,
2019-02-28,57.22,,,
2019-03-31,60.14,,,
2019-04-30,63.91,,,
2019-05-31,53.5,,,
2019-06-30,58.47,,,
2019-07-31,58.58,,,
2019-08-31,55.1,,,
2019-09-30,54.07,,,
2019-10-31,54.18,,,
2019-11-30,55.17,,,
2019-12-31,61.06,,,
2020-01-31,51.56,,,
2020-02-29,45.35,,,
2020-03-31,20.48,,,
2020-04-30,18.84,,,
2020-05-31,34.9,,,
2020-06-30,39.27,,,
2020-07-31,40.41,,,
2020-08-31,42.61,,,
2020-09-30,38.57,,,
2020-10-31,35.790,,,
2020-11-30,45.45,,,
2020-12-31,48.52,,,
2021-01-31,52.19,,,
2021-02-28,62.03,,,
2021-03-31,59.16,,,
2021-04-30,63.58,,,
2021-05-31,66.32,,,
2021-06-30,75.09,,,
2021-07-31,73.95,,,
2021-08-31,68.5,,,
2021-09-30,75.03,,,
2021-10-31,83.3,,,
2021-11-30,66.18,,,
2021-12-31,75.21,,,
2022-01-31,88.2,,,
2022-02-28,95.72,,,
2022-03-31,100.28,,,
2022-04-30,104.69,,,
2022-05-31,114.67,,,
2022-06-30,105.76,,,
2022-07-31,98.62,,,
2022-08-31,89.55,,,
2022-09-30,79.49,,,
2022-10-31,86.53,,,
2022-11-30,80.55,,,
2022-12-31,80.26,,,
2023-01-31,,69.26400757,,
2023-02-28,,57.1000824,,
2023-03-31,,44.72638321,,
2023-04-30,,49.74369049,,
2023-05-31,,53.77002716,,
2023-06-30,,55.67586517,,
