date,data,data_forecast,min_forecast,max_forecast
2013-12-31,110.8,,,
2014-01-31,106.4,,,
2014-02-28,109.07,,,
2014-03-31,107.76,,,
2014-04-30,108.07,,,
2014-05-31,109.41,,,
2014-06-30,112.36,,,
2014-07-31,106.02,,,
2014-08-31,103.19,,,
2014-09-30,94.67,,,
2014-10-31,85.86,,,
2014-11-30,70.15,,,
2014-12-31,57.33,,,
2015-01-31,52.99,,,
2015-02-28,62.58,,,
2015-03-31,55.11,,,
2015-04-30,66.78,,,
2015-05-31,65.56,,,
2015-06-30,63.59,,,
2015-07-31,52.21,,,
2015-08-31,54.15,,,
2015-09-30,48.37,,,
2015-10-31,49.56,,,
2015-11-30,44.61,,,
2015-12-31,37.28,,,
2016-01-31,34.74,,,
2016-02-29,35.97,,,
2016-03-31,39.6,,,
2016-04-30,48.13,,,
2016-05-31,49.69,,,
2016-06-30,49.68,,,
2016-07-31,42.46,,,
2016-08-31,47.04,,,
2016-09-30,49.06,,,
2016-10-31,48.3,,,
2016-11-30,50.47,,,
2016-12-31,56.82,,,
2017-01-31,55.7,,,
2017-02-28,55.59,,,
2017-03-31,52.83,,,
2017-04-30,51.73,,,
2017-05-31,50.31,,,
2017-06-30,47.92,,,
2017-07-31,52.65,,,
2017-08-31,52.38,,,
2017-09-30,57.54,,,
2017-10-31,61.37,,,
2017-11-30,63.57,,,
2017-12-31,66.87,,,
2018-01-31,69.05,,,
2018-02-28,65.78,,,
2018-03-31,70.27,,,
2018-04-30,75.17,,,
2018-05-31,77.59,,,
2018-06-30,79.44,,,
2018-07-31,74.25,,,
2018-08-31,77.42,,,
2018-09-30,82.72,,,
2018-10-31,75.47,,,
2018-11-30,58.71,,,
2018-12-31,53.8,,,
2019-01-31,61.89,,,
2019-02-28,66.03,,,
2019-03-31,68.39,,,
2019-04-30,72.8,,,
2019-05-31,64.49,,,
2019-06-30,66.55,,,
2019-07-31,65.17,,,
2019-08-31,60.43,,,
2019-09-30,60.78,,,
2019-10-31,60.23,,,
2019-11-30,62.43,,,
2019-12-31,66,,,
2020-01-31,58.16,,,
2020-02-29,50.52,,,
2020-03-31,22.74,,,
2020-04-30,25.27,,,
2020-05-31,37.8,,,
2020-06-30,41.15,,,
2020-07-31,43.3,,,
2020-08-31,45.59,,,
2020-09-30,40.75,,,
2020-10-31,37.460,,,
2020-11-30,47.59,,,
2020-12-31,51.8,,,
2021-01-31,55.88,,,
2021-02-28,65.07,,,
2021-03-31,63.54,,,
2021-04-30,67.25,,,
2021-05-31,69.32,,,
2021-06-30,75.74,,,
2021-07-31,76.33,,,
2021-08-31,72.99,,,
2021-09-30,78.52,,,
2021-10-31,84.38,,,
2021-11-30,70.57,,,
2021-12-31,77.78,,,
2022-01-31,89.36,,,
2022-02-28,100.99,,,
2022-03-31,107.91,,,
2022-04-30,109.34,,,
2022-05-31,122.84,,,
2022-06-30,114.81,,,
2022-07-31,110.01,,,
2022-08-31,96.49,,,
2022-09-30,87.96,,,
2022-10-31,94.83,,,
2022-11-30,85.43,,,
2022-12-31,80.26,,,
2023-01-31,,72.16921997,,
2023-02-28,,57.09897614,,
2023-03-31,,54.74460983,,
2023-04-30,,53.83686066,,
2023-05-31,,60.74734879,,
2023-06-30,,60.52779007,,
