date,data,data_forecast,min_forecast,max_forecast
2013-12-31,0.26,,,
2014-01-31,0.49,,,
2014-02-28,0.63,,,
2014-03-31,0.39,,,
2014-04-30,0.46,,,
2014-05-31,0.48,,,
2014-06-30,0.09,,,
2014-07-31,0.15,,,
2014-08-31,0.2,,,
2014-09-30,0.14,,,
2014-10-31,0.16,,,
2014-11-30,0.13,,,
2014-12-31,0.27,,,
2015-01-31,0.64,,,
2015-02-28,1.15,,,
2015-03-31,0.59,,,
2015-04-30,0.54,,,
2015-05-31,0.26,,,
2015-06-30,0.1,,,
2015-07-31,0.19,,,
2015-08-31,0.48,,,
2015-09-30,0.72,,,
2015-10-31,0.68,,,
2015-11-30,0.6,,,
2015-12-31,0.62,,,
2016-01-31,1.29,,,
2016-02-29,1.28,,,
2016-03-31,0.94,,,
2016-04-30,0.5,,,
2016-05-31,0.51,,,
2016-06-30,0.48,,,
2016-07-31,0.52,,,
2016-08-31,-0.32,,,
2016-09-30,-0.05,,,
2016-10-31,-0.06,,,
2016-11-30,0.11,,,
2016-12-31,0.42,,,
2017-01-31,1.02,,,
2017-02-28,1.01,,,
2017-03-31,0.47,,,
2017-04-30,0.47,,,
2017-05-31,0.23,,,
2017-06-30,0.11,,,
2017-07-31,-0.05,,,
2017-08-31,0.14,,,
2017-09-30,0.04,,,
2017-10-31,0.02,,,
2017-11-30,0.18,,,
2017-12-31,0.38,,,
2018-01-31,0.63,,,
2018-02-28,0.71,,,
2018-03-31,0.24,,,
2018-04-30,0.46,,,
2018-05-31,0.25,,,
2018-06-30,0.15,,,
2018-07-31,-0.13,,,
2018-08-31,0.12,,,
2018-09-30,0.16,,,
2018-10-31,0.12,,,
2018-11-30,0.12,,,
2018-12-31,0.3,,,
2019-01-31,0.6,,,
2019-02-28,0.6,,,
2019-03-31,0.43,,,
2019-04-30,0.5,,,
2019-05-31,0.31,,,
2019-06-30,0.31,,,
2019-07-31,0.27,,,
2019-08-31,0.22,,,
2019-09-30,0.09,,,
2019-10-31,0.23,,,
2019-11-30,0.16,,,
2019-12-31,0.1,,,
2020-01-31,0.26,,,
2020-02-29,0.42,,,
2020-03-31,0.67,,,
2020-04-30,0.57,,,
2020-05-31,0.16,,,
2020-06-30,-0.32,,,
2020-07-31,-0.38,,,
2020-08-31,1E-38,,,
2020-09-30,-0.01,,,
2020-10-31,0.320,,,
2020-11-30,-0.06,,,
2020-12-31,0.38,,,
2021-01-31,0.38,,,
2021-02-28,0.41,,,
2021-03-31,0.64,,,
2021-04-30,0.51,,,
2021-05-31,0.59,,,
2021-06-30,1,,,
2021-07-31,-0.05,,,
2021-08-31,0.32,,,
2021-09-30,0.45,,,
2021-10-31,0.38,,,
2021-11-30,0.01,,,
2021-12-31,0.5,,,
2022-01-31,0.73,,,
2022-02-28,1.67,,,
2022-03-31,1.63,,,
2022-04-30,1.23,,,
2022-05-31,1.25,,,
2022-06-30,0.84,,,
2022-07-31,0.51,,,
2022-08-31,0.81,,,
2022-09-30,1.02,,,
2022-10-31,0.93,,,
2022-11-30,0.72,,,
2022-12-31,0.77,,,
2023-01-31,,0.909182489,,
2023-02-28,,1.171759605,,
2023-03-31,,1.215587735,,
2023-04-30,,1.139897943,,
2023-05-31,,1.067775965,,
2023-06-30,,0.666637182,,
