date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1.94,,,
2014-01-31,2.13,,,
2014-02-28,2.32,,,
2014-03-31,2.51,,,
2014-04-30,2.72,,,
2014-05-31,2.93,,,
2014-06-30,2.79,,,
2014-07-31,2.89,,,
2014-08-31,3.02,,,
2014-09-30,2.86,,,
2014-10-31,3.29,,,
2014-11-30,3.65,,,
2014-12-31,3.66,,,
2015-01-31,3.82,,,
2015-02-28,4.36,,,
2015-03-31,4.56,,,
2015-04-30,4.64,,,
2015-05-31,4.41,,,
2015-06-30,4.42,,,
2015-07-31,4.46,,,
2015-08-31,4.74,,,
2015-09-30,5.35,,,
2015-10-31,5.89,,,
2015-11-30,6.39,,,
2015-12-31,6.77,,,
2016-01-31,7.45,,,
2016-02-29,7.59,,,
2016-03-31,7.98,,,
2016-04-30,7.93,,,
2016-05-31,8.2,,,
2016-06-30,8.6,,,
2016-07-31,8.97,,,
2016-08-31,8.1,,,
2016-09-30,7.27,,,
2016-10-31,6.48,,,
2016-11-30,5.96,,,
2016-12-31,5.75,,,
2017-01-31,5.47,,,
2017-02-28,5.18,,,
2017-03-31,4.69,,,
2017-04-30,4.66,,,
2017-05-31,4.37,,,
2017-06-30,3.99,,,
2017-07-31,3.4,,,
2017-08-31,3.87,,,
2017-09-30,3.97,,,
2017-10-31,4.05,,,
2017-11-30,4.12,,,
2017-12-31,4.09,,,
2018-01-31,3.68,,,
2018-02-28,3.37,,,
2018-03-31,3.14,,,
2018-04-30,3.13,,,
2018-05-31,3.16,,,
2018-06-30,3.2,,,
2018-07-31,3.12,,,
2018-08-31,3.1,,,
2018-09-30,3.23,,,
2018-10-31,3.33,,,
2018-11-30,3.27,,,
2018-12-31,3.18,,,
2019-01-31,3.15,,,
2019-02-28,3.15,,,
2019-03-31,3.21,,,
2019-04-30,3.25,,,
2019-05-31,3.31,,,
2019-06-30,3.31,,,
2019-07-31,3.43,,,
2019-08-31,3.79,,,
2019-09-30,3.75,,,
2019-10-31,3.82,,,
2019-11-30,3.86,,,
2019-12-31,3.84,,,
2020-01-31,3.8,,,
2020-02-29,3.62,,,
2020-03-31,3.72,,,
2020-04-30,3.86,,,
2020-05-31,3.51,,,
2020-06-30,2.85,,,
2020-07-31,2.19,,,
2020-08-31,1.97,,,
2020-09-30,1.88,,,
2020-10-31,1.970,,,
2020-11-30,1.75,,,
2020-12-31,1.61,,,
2021-01-31,1.61,,,
2021-02-28,1.6,,,
2021-03-31,1.56,,,
2021-04-30,1.51,,,
2021-05-31,1.95,,,
2021-06-30,3.3,,,
2021-07-31,3.63,,,
2021-08-31,3.97,,,
2021-09-30,4.44,,,
2021-10-31,4.51,,,
2021-11-30,4.58,,,
2021-12-31,5.26,,,
2022-01-31,5.62,,,
2022-02-28,6.94,,,
2022-03-31,8.01,,,
2022-04-30,8.53,,,
2022-05-31,9.23,,,
2022-06-30,9.07,,,
2022-07-31,9.67,,,
2022-08-31,10.21,,,
2022-09-30,10.84,,,
2022-10-31,11.44,,,
2022-11-30,12.22,,,
2022-12-31,12.53,,,
2023-01-31,,12.47188187,,
2023-02-28,,13.09058952,,
2023-03-31,,13.20278358,,
2023-04-30,,13.64829159,,
2023-05-31,,13.9233532,,
2023-06-30,,14.35358047,,
