date,data,data_forecast,min_forecast,max_forecast
2013-12-31,118.658,,,
2014-01-31,130.84,,,
2014-02-28,114.32,,,
2014-03-31,108.325,,,
2014-04-30,97.013,,,
2014-05-31,82.998,,,
2014-06-30,81.478,,,
2014-07-31,94.146,,,
2014-08-31,78.128,,,
2014-09-30,100.378,,,
2014-10-31,88.25,,,
2014-11-30,99.166,,,
2014-12-31,140.965,,,
2015-01-31,167.795,,,
2015-02-28,134.651,,,
2015-03-31,159.46,,,
2015-04-30,143.549,,,
2015-05-31,147.117,,,
2015-06-30,169.263,,,
2015-07-31,182.716,,,
2015-08-31,217.715,,,
2015-09-30,249.177,,,
2015-10-31,210.172,,,
2015-11-30,221.94,,,
2015-12-31,242.539,,,
2016-01-31,283.389,,,
2016-02-29,274.2,,,
2016-03-31,215.659,,,
2016-04-30,218.979,,,
2016-05-31,234.063,,,
2016-06-30,205.573,,,
2016-07-31,196.978,,,
2016-08-31,170.167,,,
2016-09-30,170.025,,,
2016-10-31,176.221,,,
2016-11-30,190.566,,,
2016-12-31,164.223,,,
2017-01-31,153.814,,,
2017-02-28,140.438,,,
2017-03-31,133.991,,,
2017-04-30,126.418,,,
2017-05-31,127.61,,,
2017-06-30,136.137,,,
2017-07-31,125.242,,,
2017-08-31,123.03,,,
2017-09-30,122.242,,,
2017-10-31,110.261,,,
2017-11-30,112.536,,,
2017-12-31,104.706,,,
2018-01-31,89.903,,,
2018-02-28,102.01,,,
2018-03-31,106.714,,,
2018-04-30,106.623,,,
2018-05-31,124.433,,,
2018-06-30,124.95,,,
2018-07-31,105.645,,,
2018-08-31,111.741,,,
2018-09-30,110.101,,,
2018-10-31,128.4,,,
2018-11-30,141.168,,,
2018-12-31,157.087,,,
2019-01-31,124.727,,,
2019-02-28,107.157,,,
2019-03-31,111.072,,,
2019-04-30,96.763,,,
2019-05-31,116.849,,,
2019-06-30,91.637,,,
2019-07-31,86.082,,,
2019-08-31,94.311,,,
2019-09-30,93.373,,,
2019-10-31,80.731,,,
2019-11-30,90.119,,,
2019-12-31,72.225,,,
2020-01-31,80.351,,,
2020-02-29,103.708,,,
2020-03-31,232.34,,,
2020-04-30,243.005,,,
2020-05-31,169.501,,,
2020-06-30,160.731,,,
2020-07-31,128.962,,,
2020-08-31,116.2,,,
2020-09-30,146.136,,,
2020-10-31,125.316,,,
2020-11-30,89.001,,,
2020-12-31,88.657,,,
2021-01-31,112.729,,,
2021-02-28,115.84,,,
2021-03-31,134.664,,,
2021-04-30,125.241,,,
2021-05-31,141.821,,,
2021-06-30,136.467,,,
2021-07-31,147.257,,,
2021-08-31,132.789,,,
2021-09-30,168.749,,,
2021-10-31,163.671,,,
2021-11-30,226.277,,,
2021-12-31,204.673,,,
2022-01-31,214.774,,,
2022-02-28,223.393,,,
2022-03-31,190.227,,,
2022-04-30,238.442,,,
2022-05-31,215.814,,,
2022-06-30,293.274,,,
2022-07-31,261.167,,,
2022-08-31,276.252,,,
2022-09-30,337.023,,,
2022-10-31,351.228,,,
2022-11-30,285.489,,,
2022-12-31,274.581,,,
2023-01-31,,278.8565979,,
2023-02-28,,261.7467957,,
2023-03-31,,309.5410156,,
2023-04-30,,293.6199341,,
2023-05-31,,282.6981506,,
2023-06-30,,334.4929504,,
