date,data,data_forecast,min_forecast,max_forecast
2013-12-31,135.11,,,
2014-01-31,135.49,,,
2014-02-28,135.82,,,
2014-03-31,136.18,,,
2014-04-30,136.53,,,
2014-05-31,136.91,,,
2014-06-30,137.3,,,
2014-07-31,137.79,,,
2014-08-31,138.23,,,
2014-09-30,138.75,,,
2014-10-31,139.27,,,
2014-11-30,139.74,,,
2014-12-31,140.28,,,
2015-01-31,140.81,,,
2015-02-28,141.29,,,
2015-03-31,141.84,,,
2015-04-30,142.35,,,
2015-05-31,142.85,,,
2015-06-30,143.4,,,
2015-07-31,143.94,,,
2015-08-31,144.49,,,
2015-09-30,145.01,,,
2015-10-31,145.58,,,
2015-11-30,146.19,,,
2015-12-31,146.85,,,
2016-01-31,147.53,,,
2016-02-29,148.26,,,
2016-03-31,149.04,,,
2016-04-30,149.78,,,
2016-05-31,150.67,,,
2016-06-30,151.55,,,
2016-07-31,152.42,,,
2016-08-31,153.45,,,
2016-09-30,154.39,,,
2016-10-31,155.37,,,
2016-11-30,156.33,,,
2016-12-31,157.25,,,
2017-01-31,158.28,,,
2017-02-28,159.16,,,
2017-03-31,160.11,,,
2017-04-30,160.94,,,
2017-05-31,161.86,,,
2017-06-30,162.67,,,
2017-07-31,163.45,,,
2017-08-31,164.2,,,
2017-09-30,164.87,,,
2017-10-31,165.62,,,
2017-11-30,166.28,,,
2017-12-31,166.87,,,
2018-01-31,167.59,,,
2018-02-28,168.16,,,
2018-03-31,168.73,,,
2018-04-30,169.39,,,
2018-05-31,169.99,,,
2018-06-30,170.55,,,
2018-07-31,171.18,,,
2018-08-31,171.78,,,
2018-09-30,172.33,,,
2018-10-31,172.98,,,
2018-11-30,173.57,,,
2018-12-31,174.13,,,
2019-01-31,174.81,,,
2019-02-28,175.36,,,
2019-03-31,175.95,,,
2019-04-30,176.59,,,
2019-05-31,177.22,,,
2019-06-30,177.78,,,
2019-07-31,178.45,,,
2019-08-31,179.07,,,
2019-09-30,179.7,,,
2019-10-31,180.34,,,
2019-11-30,180.94,,,
2019-12-31,181.58,,,
2020-01-31,182.24,,,
2020-02-29,182.83,,,
2020-03-31,183.48,,,
2020-04-30,184.03,,,
2020-05-31,184.55,,,
2020-06-30,184.95,,,
2020-07-31,185.33,,,
2020-08-31,185.68,,,
2020-09-30,185.97,,,
2020-10-31,186.150,,,
2020-11-30,186.52,,,
2020-12-31,186.79,,,
2021-01-31,187.05,,,
2021-02-28,187.33,,,
2021-03-31,187.59,,,
2021-04-30,187.86,,,
2021-05-31,188.13,,,
2021-06-30,188.41,,,
2021-07-31,188.67,,,
2021-08-31,188.96,,,
2021-09-30,189.23,,,
2021-10-31,189.53,,,
2021-11-30,189.94,,,
2021-12-31,190.35,,,
2022-01-31,190.87,,,
2022-02-28,191.42,,,
2022-03-31,192.06,,,
2022-04-30,192.80,,,
2022-05-31,193.77,,,
2022-06-30,194.7,,,
2022-07-31,195.82,,,
2022-08-31,197.33,,,
2022-09-30,198.73,,,
2022-10-31,200.35,,,
2022-11-30,201.73,,,
2022-12-31,203.74,,,
2023-01-31,,204.1137543,,
2023-02-28,,204.7722473,,
2023-03-31,,205.4596863,,
2023-04-30,,206.1226807,,
2023-05-31,,206.7333221,,
2023-06-30,,207.343811,,
