date,data,data_forecast,min_forecast,max_forecast
2013-12-31,3.166,,,
2014-01-31,3.189,,,
2014-02-28,3.194,,,
2014-03-31,3.171,,,
2014-04-30,3.621,,,
2014-05-31,3.765,,,
2014-06-30,4.13,,,
2014-07-31,4.223,,,
2014-08-31,4.35,,,
2014-09-30,4.378,,,
2014-10-31,4.37,,,
2014-11-30,4.357,,,
2014-12-31,4.36,,,
2015-01-31,4.331,,,
2015-02-28,4.336,,,
2015-03-31,4.391,,,
2015-04-30,4.386,,,
2015-05-31,4.373,,,
2015-06-30,4.378,,,
2015-07-31,4.401,,,
2015-08-31,4.57,,,
2015-09-30,4.82,,,
2015-10-31,5.209,,,
2015-11-30,5.64,,,
2015-12-31,5.853,,,
2016-01-31,6.088,,,
2016-02-29,6.335,,,
2016-03-31,6.47,,,
2016-04-30,6.714,,,
2016-05-31,7.085,,,
2016-06-30,7.235,,,
2016-07-31,7.378,,,
2016-08-31,7.5,,,
2016-09-30,7.418,,,
2016-10-31,7.39,,,
2016-11-30,7.32,,,
2016-12-31,6.92,,,
2017-01-31,7.038,,,
2017-02-28,6.758,,,
2017-03-31,6.39,,,
2017-04-30,5.975,,,
2017-05-31,5.667,,,
2017-06-30,5.32,,,
2017-07-31,5.17,,,
2017-08-31,5.025,,,
2017-09-30,4.98,,,
2017-10-31,4.791,,,
2017-11-30,4.424,,,
2017-12-31,4.513,,,
2018-01-31,4.343,,,
2018-02-28,4.282,,,
2018-03-31,4.205,,,
2018-04-30,4.077,,,
2018-05-31,4.081,,,
2018-06-30,4.128,,,
2018-07-31,4.123,,,
2018-08-31,4.127,,,
2018-09-30,4.132,,,
2018-10-31,4.158,,,
2018-11-30,4.153,,,
2018-12-31,4.143,,,
2019-01-31,4.132,,,
2019-02-28,4.14,,,
2019-03-31,4.136,,,
2019-04-30,4.135,,,
2019-05-31,4.126,,,
2019-06-30,4.095,,,
2019-07-31,4.113,,,
2019-08-31,4.133,,,
2019-09-30,4.127,,,
2019-10-31,4.139,,,
2019-11-30,4.136,,,
2019-12-31,4.134,,,
2020-01-31,4.134,,,
2020-02-29,4.128,,,
2020-03-31,3.285,,,
2020-04-30,2.87,,,
2020-05-31,2.49,,,
2020-06-30,2.223,,,
2020-07-31,2.095,,,
2020-08-31,2.019,,,
2020-09-30,1.701,,,
2020-10-31,1.685,,,
2020-11-30,1.713,,,
2020-12-31,1.693,,,
2021-01-31,1.659,,,
2021-02-28,1.693,,,
2021-03-31,1.736,,,
2021-04-30,1.71,,,
2021-05-31,1.8,,,
2021-06-30,1.883,,,
2021-07-31,1.825,,,
2021-08-31,1.982,,,
2021-09-30,2.39,,,
2021-10-31,2.623,,,
2021-11-30,3.014,,,
2021-12-31,3.418,,,
2022-01-31,4.236,,,
2022-02-28,5.085,,,
2022-03-31,6.116,,,
2022-04-30,6.222,,,
2022-05-31,6.949,,,
2022-06-30,7.97,,,
2022-07-31,8.857,,,
2022-08-31,9.49,,,
2022-09-30,10.165,,,
2022-10-31,10.843,,,
2022-11-30,11.083,,,
2022-12-31,11.66,,,
2023-01-31,,12.19933987,,
2023-02-28,,12.13057804,,
2023-03-31,,12.29114628,,
2023-04-30,,12.12438107,,
2023-05-31,,11.87350464,,
2023-06-30,,11.85667992,,
