date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1929.51,,,
2014-01-31,2015.93,,,
2014-02-28,2046.33,,,
2014-03-31,1971.2,,,
2014-04-30,1936.4,,,
2014-05-31,1897.1,,,
2014-06-30,1877.44,,,
2014-07-31,1876.5,,,
2014-08-31,1920.58,,,
2014-09-30,2024.85,,,
2014-10-31,2057.6,,,
2014-11-30,2217.05,,,
2014-12-31,2376.51,,,
2015-01-31,2440.31,,,
2015-02-28,2499.59,,,
2015-03-31,2599.62,,,
2015-04-30,2382.6,,,
2015-05-31,2532.27,,,
2015-06-30,2606,,,
2015-07-31,2880.38,,,
2015-08-31,3052.5,,,
2015-09-30,3087.44,,,
2015-10-31,2896.6,,,
2015-11-30,3146.25,,,
2015-12-31,3174.5,,,
2016-01-31,3284.99,,,
2016-02-29,3292.8,,,
2016-03-31,3002.2,,,
2016-04-30,2849.97,,,
2016-05-31,3090.18,,,
2016-06-30,2920.35,,,
2016-07-31,3071.3,,,
2016-08-31,2972,,,
2016-09-30,2882.06,,,
2016-10-31,3006.78,,,
2016-11-30,3073.67,,,
2016-12-31,3002,,,
2017-01-31,2923.38,,,
2017-02-28,2925.82,,,
2017-03-31,2873.98,,,
2017-04-30,2943,,,
2017-05-31,2916.3,,,
2017-06-30,3045.67,,,
2017-07-31,2985.98,,,
2017-08-31,2946.39,,,
2017-09-30,2937.65,,,
2017-10-31,3041.93,,,
2017-11-30,3016.37,,,
2017-12-31,2985.78,,,
2018-01-31,2830.82,,,
2018-02-28,2864.4,,,
2018-03-31,2794.06,,,
2018-04-30,2802.64,,,
2018-05-31,2890.35,,,
2018-06-30,2931.61,,,
2018-07-31,2889.23,,,
2018-08-31,3047.77,,,
2018-09-30,2966.17,,,
2018-10-31,3220.01,,,
2018-11-30,3235.24,,,
2018-12-31,3254.25,,,
2019-01-31,3106.5,,,
2019-02-28,3080.11,,,
2019-03-31,3188.74,,,
2019-04-30,3232.97,,,
2019-05-31,3379.55,,,
2019-06-30,3211.36,,,
2019-07-31,3279.53,,,
2019-08-31,3442.29,,,
2019-09-30,3477.98,,,
2019-10-31,3380.29,,,
2019-11-30,3517.05,,,
2019-12-31,3287.23,,,
2020-01-31,3420.57,,,
2020-02-29,3524.13,,,
2020-03-31,4055.75,,,
2020-04-30,3963.61,,,
2020-05-31,3713.12,,,
2020-06-30,3758.06,,,
2020-07-31,3732.71,,,
2020-08-31,3741.04,,,
2020-09-30,3845.67,,,
2020-10-31,3865.190,,,
2020-11-30,3596.93,,,
2020-12-31,3428.26,,,
2021-01-31,3569.55,,,
2021-02-28,3632.13,,,
2021-03-31,3663.44,,,
2021-04-30,3729.88,,,
2021-05-31,3711.95,,,
2021-06-30,3752.35,,,
2021-07-31,3830.75,,,
2021-08-31,3771.96,,,
2021-09-30,3807.8,,,
2021-10-31,3767.37,,,
2021-11-30,3962.76,,,
2021-12-31,4080.32,,,
2022-01-31,3925.51,,,
2022-02-28,3937.94,,,
2022-03-31,3771.05,,,
2022-04-30,3960.95,,,
2022-05-31,3772.1,,,
2022-06-30,4155.11,,,
2022-07-31,4300.3,,,
2022-08-31,4429.17,,,
2022-09-30,4608.75,,,
2022-10-31,4940.08,,,
2022-11-30,4834.25,,,
2022-12-31,4852.5,,,
2023-01-31,,4859.555664,,
2023-02-28,,4859.728516,,
2023-03-31,,4837.306152,,
2023-04-30,,4713.198242,,
2023-05-31,,4644.066895,,
2023-06-30,,4687.146973,,
