date,data,data_forecast,min_forecast,max_forecast
2013-12-31,3.25,,,
2014-01-31,3.25,,,
2014-02-28,3.25,,,
2014-03-31,3.25,,,
2014-04-30,3.5,,,
2014-05-31,3.75,,,
2014-06-30,4,,,
2014-07-31,4.25,,,
2014-08-31,4.5,,,
2014-09-30,4.5,,,
2014-10-31,4.5,,,
2014-11-30,4.5,,,
2014-12-31,4.5,,,
2015-01-31,4.5,,,
2015-02-28,4.5,,,
2015-03-31,4.5,,,
2015-04-30,4.5,,,
2015-05-31,4.5,,,
2015-06-30,4.5,,,
2015-07-31,4.5,,,
2015-08-31,4.5,,,
2015-09-30,4.75,,,
2015-10-31,5.25,,,
2015-11-30,5.5,,,
2015-12-31,5.75,,,
2016-01-31,6,,,
2016-02-29,6.25,,,
2016-03-31,6.5,,,
2016-04-30,7,,,
2016-05-31,7.25,,,
2016-06-30,7.5,,,
2016-07-31,7.75,,,
2016-08-31,7.75,,,
2016-09-30,7.75,,,
2016-10-31,7.75,,,
2016-11-30,7.75,,,
2016-12-31,7.5,,,
2017-01-31,7.5,,,
2017-02-28,7.25,,,
2017-03-31,7,,,
2017-04-30,6.5,,,
2017-05-31,6.25,,,
2017-06-30,5.75,,,
2017-07-31,5.5,,,
2017-08-31,5.25,,,
2017-09-30,5.25,,,
2017-10-31,5,,,
2017-11-30,4.75,,,
2017-12-31,4.75,,,
2018-01-31,4.5,,,
2018-02-28,4.5,,,
2018-03-31,4.5,,,
2018-04-30,4.25,,,
2018-05-31,4.25,,,
2018-06-30,4.25,,,
2018-07-31,4.25,,,
2018-08-31,4.25,,,
2018-09-30,4.25,,,
2018-10-31,4.25,,,
2018-11-30,4.25,,,
2018-12-31,4.25,,,
2019-01-31,4.25,,,
2019-02-28,4.25,,,
2019-03-31,4.25,,,
2019-04-30,4.25,,,
2019-05-31,4.25,,,
2019-06-30,4.25,,,
2019-07-31,4.25,,,
2019-08-31,4.25,,,
2019-09-30,4.25,,,
2019-10-31,4.25,,,
2019-11-30,4.25,,,
2019-12-31,4.25,,,
2020-01-31,4.25,,,
2020-02-29,4.25,,,
2020-03-31,3.75,,,
2020-04-30,3.25,,,
2020-05-31,2.75,,,
2020-06-30,2.5,,,
2020-07-31,2.25,,,
2020-08-31,2,,,
2020-09-30,1.75,,,
2020-10-31,1.750,,,
2020-11-30,1.75,,,
2020-12-31,1.75,,,
2021-01-31,1.75,,,
2021-02-28,1.75,,,
2021-03-31,1.75,,,
2021-04-30,1.75,,,
2021-05-31,1.75,,,
2021-06-30,1.75,,,
2021-07-31,1.75,,,
2021-08-31,1.75,,,
2021-09-30,2,,,
2021-10-31,2.5,,,
2021-11-30,2.5,,,
2021-12-31,3,,,
2022-01-31,4,,,
2022-02-28,4,,,
2022-03-31,5,,,
2022-04-30,6,,,
2022-05-31,6,,,
2022-06-30,7.5,,,
2022-07-31,9,,,
2022-08-31,9,,,
2022-09-30,10,,,
2022-10-31,11,,,
2022-11-30,11,,,
2022-12-31,12,,,
2023-01-31,,12.93244553,,
2023-02-28,,13.31729889,,
2023-03-31,,13.56447697,,
2023-04-30,,13.99622059,,
2023-05-31,,13.94787121,,
2023-06-30,,13.98759747,,
