date,data,data_forecast,min_forecast,max_forecast
2013-12-31,9552.16,,,
2014-01-31,9306.48,,,
2014-02-28,9692.08,,,
2014-03-31,9555.91,,,
2014-04-30,9603.23,,,
2014-05-31,9943.27,,,
2014-06-30,9833.07,,,
2014-07-31,9407.48,,,
2014-08-31,9470.17,,,
2014-09-30,9474.3,,,
2014-10-31,9326.87,,,
2014-11-30,9980.85,,,
2014-12-31,9805.55,,,
2015-01-31,10694.32,,,
2015-02-28,11401.66,,,
2015-03-31,11966.17,,,
2015-04-30,11454.38,,,
2015-05-31,11413.82,,,
2015-06-30,10944.97,,,
2015-07-31,11308.99,,,
2015-08-31,10259.46,,,
2015-09-30,9660.44,,,
2015-10-31,10850.14,,,
2015-11-30,11382.23,,,
2015-12-31,10743.01,,,
2016-01-31,9798.11,,,
2016-02-29,9495.4,,,
2016-03-31,9965.51,,,
2016-04-30,10038.97,,,
2016-05-31,10262.74,,,
2016-06-30,9680.09,,,
2016-07-31,10337.5,,,
2016-08-31,10592.69,,,
2016-09-30,10511.02,,,
2016-10-31,10665.01,,,
2016-11-30,10640.3,,,
2016-12-31,11481.06,,,
2017-01-31,11535.31,,,
2017-02-28,11834.41,,,
2017-03-31,12312.87,,,
2017-04-30,12438.01,,,
2017-05-31,12615.06,,,
2017-06-30,12325.12,,,
2017-07-31,12118.25,,,
2017-08-31,12055.84,,,
2017-09-30,12828.86,,,
2017-10-31,13229.57,,,
2017-11-30,13023.98,,,
2017-12-31,12917.64,,,
2018-01-31,13189.48,,,
2018-02-28,12435.85,,,
2018-03-31,12096.73,,,
2018-04-30,12612.11,,,
2018-05-31,12604.89,,,
2018-06-30,12306,,,
2018-07-31,12805.5,,,
2018-08-31,12364.06,,,
2018-09-30,12246.73,,,
2018-10-31,11447.51,,,
2018-11-30,11257.24,,,
2018-12-31,10558.96,,,
2019-01-31,11173.1,,,
2019-02-28,11515.64,,,
2019-03-31,11526.04,,,
2019-04-30,12344.08,,,
2019-05-31,11726.84,,,
2019-06-30,12398.8,,,
2019-07-31,12189.04,,,
2019-08-31,11939.28,,,
2019-09-30,12428.08,,,
2019-10-31,12866.79,,,
2019-11-30,13236.38,,,
2019-12-31,13249.01,,,
2020-01-31,12981.97,,,
2020-02-29,11890.35,,,
2020-03-31,9935.84,,,
2020-04-30,10861.64,,,
2020-05-31,11586.85,,,
2020-06-30,12310.93,,,
2020-07-31,12313.36,,,
2020-08-31,12945.38,,,
2020-09-30,12730.77,,,
2020-10-31,11556.480,,,
2020-11-30,13291.16,,,
2020-12-31,13718.78,,,
2021-01-31,13432.87,,,
2021-02-28,13925.53,,,
2021-03-31,15008.34,,,
2021-04-30,15135.91,,,
2021-05-31,15421.13,,,
2021-06-30,15594.96,,,
2021-07-31,15544.39,,,
2021-08-31,15835.09,,,
2021-09-30,15260.69,,,
2021-10-31,15688.77,,,
2021-11-30,15100.13,,,
2021-12-31,15884.86,,,
2022-01-31,15619.39,,,
2022-02-28,14461.02,,,
2022-03-31,14414.75,,,
2022-04-30,14097.88,,,
2022-05-31,14388.35,,,
2022-06-30,12783.77,,,
2022-07-31,13484.05,,,
2022-08-31,12834.96,,,
2022-09-30,12114.36,,,
2022-10-31,13253.74,,,
2022-11-30,14397.04,,,
2022-12-31,13923.59,,,
2023-01-31,,13908.01758,,
2023-02-28,,14307.92285,,
2023-03-31,,14631.66602,,
2023-04-30,,15017.47656,,
2023-05-31,,15165.00293,,
2023-06-30,,15285.45898,,
