date,data,data_forecast,min_forecast,max_forecast
2013-12-31,4.07,,,
2014-01-31,4.03,,,
2014-02-28,3.97,,,
2014-03-31,3.88,,,
2014-04-30,3.78,,,
2014-05-31,3.81,,,
2014-06-30,4.01,,,
2014-07-31,4.06,,,
2014-08-31,4.09,,,
2014-09-30,4.35,,,
2014-10-31,4.41,,,
2014-11-30,4.37,,,
2014-12-31,4.34,,,
2015-01-31,4.53,,,
2015-02-28,4.41,,,
2015-03-31,4.36,,,
2015-04-30,4.6,,,
2015-05-31,4.4,,,
2015-06-30,4.28,,,
2015-07-31,4.58,,,
2015-08-31,4.55,,,
2015-09-30,4.39,,,
2015-10-31,5.08,,,
2015-11-30,5.01,,,
2015-12-31,5.22,,,
2016-01-31,6.08,,,
2016-02-29,6.43,,,
2016-03-31,6.37,,,
2016-04-30,6.97,,,
2016-05-31,6.97,,,
2016-06-30,6.93,,,
2016-07-31,7.59,,,
2016-08-31,7.24,,,
2016-09-30,7.13,,,
2016-10-31,7.36,,,
2016-11-30,7,,,
2016-12-31,6.86,,,
2017-01-31,7.12,,,
2017-02-28,6.78,,,
2017-03-31,6.65,,,
2017-04-30,6.48,,,
2017-05-31,6.11,,,
2017-06-30,5.95,,,
2017-07-31,5.7,,,
2017-08-31,5.55,,,
2017-09-30,5.52,,,
2017-10-31,5.66,,,
2017-11-30,5.31,,,
2017-12-31,5.21,,,
2018-01-31,5.28,,,
2018-02-28,5.1,,,
2018-03-31,5,,,
2018-04-30,4.92,,,
2018-05-31,4.65,,,
2018-06-30,4.56,,,
2018-07-31,4.58,,,
2018-08-31,4.5,,,
2018-09-30,4.51,,,
2018-10-31,4.41,,,
2018-11-30,4.42,,,
2018-12-31,4.54,,,
2019-01-31,4.62,,,
2019-02-28,4.57,,,
2019-03-31,4.51,,,
2019-04-30,4.54,,,
2019-05-31,4.47,,,
2019-06-30,4.4,,,
2019-07-31,4.51,,,
2019-08-31,4.44,,,
2019-09-30,4.51,,,
2019-10-31,4.46,,,
2019-11-30,4.49,,,
2019-12-31,4.48,,,
2020-01-31,4.62,,,
2020-02-29,4.45,,,
2020-03-31,4.59,,,
2020-04-30,4.66,,,
2020-05-31,4.17,,,
2020-06-30,3.71,,,
2020-07-31,3.29,,,
2020-08-31,2.64,,,
2020-09-30,2.32,,,
2020-10-31,1.980,,,
2020-11-30,1.96,,,
2020-12-31,1.89,,,
2021-01-31,1.93,,,
2021-02-28,1.77,,,
2021-03-31,1.73,,,
2021-04-30,1.78,,,
2021-05-31,1.89,,,
2021-06-30,1.91,,,
2021-07-31,1.91,,,
2021-08-31,2.02,,,
2021-09-30,2.06,,,
2021-10-31,2.22,,,
2021-11-30,2.77,,,
2021-12-31,3.21,,,
2022-01-31,3.54,,,
2022-02-28,4.4,,,
2022-03-31,5.15,,,
2022-04-30,5.9,,,
2022-05-31,7.4,,,
2022-06-30,7.82,,,
2022-07-31,9.28,,,
2022-08-31,10.92,,,
2022-09-30,10.9,,,
2022-10-31,12.37,,,
2022-11-30,12.86,,,
2022-12-31,13.7,,,
2023-01-31,,14.61387348,,
2023-02-28,,15.15526772,,
2023-03-31,,16.01998138,,
2023-04-30,,15.96014881,,
2023-05-31,,16.04443169,,
2023-06-30,,15.87281418,,
