date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1.3743,,,
2014-01-31,1.3486,,,
2014-02-28,1.3802,,,
2014-03-31,1.3769,,,
2014-04-30,1.3867,,,
2014-05-31,1.3635,,,
2014-06-30,1.3692,,,
2014-07-31,1.339,,,
2014-08-31,1.3132,,,
2014-09-30,1.2631,,,
2014-10-31,1.2525,,,
2014-11-30,1.2452,,,
2014-12-31,1.2098,,,
2015-01-31,1.1291,,,
2015-02-28,1.1196,,,
2015-03-31,1.0731,,,
2015-04-30,1.1224,,,
2015-05-31,1.0986,,,
2015-06-30,1.1147,,,
2015-07-31,1.0984,,,
2015-08-31,1.1211,,,
2015-09-30,1.1177,,,
2015-10-31,1.1006,,,
2015-11-30,1.0565,,,
2015-12-31,1.0862,,,
2016-01-31,1.0831,,,
2016-02-29,1.0873,,,
2016-03-31,1.138,,,
2016-04-30,1.1451,,,
2016-05-31,1.1132,,,
2016-06-30,1.1106,,,
2016-07-31,1.1174,,,
2016-08-31,1.1158,,,
2016-09-30,1.1235,,,
2016-10-31,1.0981,,,
2016-11-30,1.0589,,,
2016-12-31,1.0517,,,
2017-01-31,1.0798,,,
2017-02-28,1.0576,,,
2017-03-31,1.0652,,,
2017-04-30,1.0895,,,
2017-05-31,1.1244,,,
2017-06-30,1.1426,,,
2017-07-31,1.1842,,,
2017-08-31,1.191,,,
2017-09-30,1.1814,,,
2017-10-31,1.1646,,,
2017-11-30,1.1904,,,
2017-12-31,1.2005,,,
2018-01-31,1.2414,,,
2018-02-28,1.2194,,,
2018-03-31,1.2324,,,
2018-04-30,1.2078,,,
2018-05-31,1.1693,,,
2018-06-30,1.1684,,,
2018-07-31,1.1691,,,
2018-08-31,1.1602,,,
2018-09-30,1.1604,,,
2018-10-31,1.1312,,,
2018-11-30,1.1317,,,
2018-12-31,1.1467,,,
2019-01-31,1.1448,,,
2019-02-28,1.1371,,,
2019-03-31,1.1218,,,
2019-04-30,1.1215,,,
2019-05-31,1.1169,,,
2019-06-30,1.1373,,,
2019-07-31,1.1076,,,
2019-08-31,1.0982,,,
2019-09-30,1.0903,,,
2019-10-31,1.1152,,,
2019-11-30,1.1018,,,
2019-12-31,1.1213,,,
2020-01-31,1.1093,,,
2020-02-29,1.1028,,,
2020-03-31,1.1031,,,
2020-04-30,1.0955,,,
2020-05-31,1.112,,,
2020-06-30,1.1234,,,
2020-07-31,1.1778,,,
2020-08-31,1.1936,,,
2020-09-30,1.1743,,,
2020-10-31,1.165,,,
2020-11-30,1.1936,,,
2020-12-31,1.2216,,,
2021-01-31,1.2134,,,
2021-02-28,1.2043,,,
2021-03-31,1.173,,,
2021-04-30,1.202,,,
2021-05-31,1.2227,,,
2021-06-30,1.1868,,,
2021-07-31,1.187,,,
2021-08-31,1.1809,,,
2021-09-30,1.158,,,
2021-10-31,1.1558,,,
2021-11-30,1.1338,,,
2021-12-31,1.137,,,
2022-01-31,1.1272,,,
2022-02-28,1.1219,,,
2022-03-31,1.1067,,,
2022-04-30,1.0545,,,
2022-05-31,1.0734,,,
2022-06-30,1.0484,,,
2022-07-31,1.022,,,
2022-08-31,1.0054,,,
2022-09-30,0.9802,,,
2022-10-31,0.9882,,,
2022-11-30,1.0406,,,
2022-12-31,1.0705,,,
2023-01-31,,1.104195356,,
2023-02-28,,1.126943827,,
2023-03-31,,1.119280696,,
2023-04-30,,1.111489296,,
2023-05-31,,1.122773528,,
2023-06-30,,1.14863348,,
