date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1.929,,,
2014-01-31,1.659,,,
2014-02-28,1.624,,,
2014-03-31,1.566,,,
2014-04-30,1.469,,,
2014-05-31,1.358,,,
2014-06-30,1.245,,,
2014-07-31,1.155,,,
2014-08-31,0.89,,,
2014-09-30,0.947,,,
2014-10-31,0.841,,,
2014-11-30,0.7,,,
2014-12-31,0.541,,,
2015-01-31,0.302,,,
2015-02-28,0.328,,,
2015-03-31,0.18,,,
2015-04-30,0.366,,,
2015-05-31,0.487,,,
2015-06-30,0.764,,,
2015-07-31,0.644,,,
2015-08-31,0.798,,,
2015-09-30,0.587,,,
2015-10-31,0.517,,,
2015-11-30,0.473,,,
2015-12-31,0.629,,,
2016-01-31,0.325,,,
2016-02-29,0.107,,,
2016-03-31,0.153,,,
2016-04-30,0.271,,,
2016-05-31,0.139,,,
2016-06-30,-0.13,,,
2016-07-31,-0.119,,,
2016-08-31,-0.065,,,
2016-09-30,-0.119,,,
2016-10-31,0.163,,,
2016-11-30,0.275,,,
2016-12-31,0.208,,,
2017-01-31,0.436,,,
2017-02-28,0.208,,,
2017-03-31,0.328,,,
2017-04-30,0.317,,,
2017-05-31,0.304,,,
2017-06-30,0.466,,,
2017-07-31,0.543,,,
2017-08-31,0.361,,,
2017-09-30,0.464,,,
2017-10-31,0.363,,,
2017-11-30,0.367,,,
2017-12-31,0.427,,,
2018-01-31,0.697,,,
2018-02-28,0.656,,,
2018-03-31,0.497,,,
2018-04-30,0.559,,,
2018-05-31,0.341,,,
2018-06-30,0.302,,,
2018-07-31,0.443,,,
2018-08-31,0.326,,,
2018-09-30,0.47,,,
2018-10-31,0.385,,,
2018-11-30,0.313,,,
2018-12-31,0.242,,,
2019-01-31,0.149,,,
2019-02-28,0.183,,,
2019-03-31,-0.07,,,
2019-04-30,0.013,,,
2019-05-31,-0.202,,,
2019-06-30,-0.327,,,
2019-07-31,-0.44,,,
2019-08-31,-0.7,,,
2019-09-30,-0.571,,,
2019-10-31,-0.407,,,
2019-11-30,-0.36,,,
2019-12-31,-0.185,,,
2020-01-31,-0.434,,,
2020-02-29,-0.607,,,
2020-03-31,-0.471,,,
2020-04-30,-0.586,,,
2020-05-31,-0.392,,,
2020-06-30,-0.454,,,
2020-07-31,-0.524,,,
2020-08-31,-0.397,,,
2020-09-30,-0.536,,,
2020-10-31,-0.627,,,
2020-11-30,-0.571,,,
2020-12-31,-0.569,,,
2021-01-31,-0.518,,,
2021-02-28,-0.31,,,
2021-03-31,-0.292,,,
2021-04-30,-0.202,,,
2021-05-31,-0.187,,,
2021-06-30,-0.199,,,
2021-07-31,-0.461,,,
2021-08-31,-0.383,,,
2021-09-30,-0.199,,,
2021-10-31,-0.106,,,
2021-11-30,-0.349,,,
2021-12-31,-0.177,,,
2022-01-31,0.037,,,
2022-02-28,0.135,,,
2022-03-31,0.548,,,
2022-04-30,0.938,,,
2022-05-31,1.122,,,
2022-06-30,1.336,,,
2022-07-31,0.817,,,
2022-08-31,1.541,,,
2022-09-30,2.108,,,
2022-10-31,2.142,,,
2022-11-30,1.93,,,
2022-12-31,2.571,,,
2023-01-31,,2.851203918,,
2023-02-28,,2.852647781,,
2023-03-31,,2.907305717,,
2023-04-30,,3.384338856,,
2023-05-31,,3.250226021,,
2023-06-30,,3.315232277,,
