date,data,data_forecast,min_forecast,max_forecast
2013-12-31,51507.16,,,
2014-01-31,47638.99,,,
2014-02-28,47094.4,,,
2014-03-31,50414.92,,,
2014-04-30,51626.69,,,
2014-05-31,51239.34,,,
2014-06-30,53168.22,,,
2014-07-31,55829.41,,,
2014-08-31,61288.15,,,
2014-09-30,54115.98,,,
2014-10-31,54628.6,,,
2014-11-30,54724,,,
2014-12-31,50007.41,,,
2015-01-31,46907.68,,,
2015-02-28,51583.09,,,
2015-03-31,51150.16,,,
2015-04-30,56229.38,,,
2015-05-31,52760.48,,,
2015-06-30,53080.88,,,
2015-07-31,50864.77,,,
2015-08-31,46625.52,,,
2015-09-30,45059.34,,,
2015-10-31,45868.82,,,
2015-11-30,45120.36,,,
2015-12-31,43349.96,,,
2016-01-31,40405.99,,,
2016-02-29,42793.86,,,
2016-03-31,50055.27,,,
2016-04-30,53910.51,,,
2016-05-31,48471.71,,,
2016-06-30,51526.93,,,
2016-07-31,57308.21,,,
2016-08-31,57901.11,,,
2016-09-30,58367.05,,,
2016-10-31,64924.52,,,
2016-11-30,61906.36,,,
2016-12-31,60227.28,,,
2017-01-31,64670.78,,,
2017-02-28,66662.1,,,
2017-03-31,64984.07,,,
2017-04-30,65403.25,,,
2017-05-31,62711.47,,,
2017-06-30,62899.97,,,
2017-07-31,65920.36,,,
2017-08-31,70835.05,,,
2017-09-30,74293.51,,,
2017-10-31,74308.49,,,
2017-11-30,71970.99,,,
2017-12-31,76402.08,,,
2018-01-31,84912.7,,,
2018-02-28,85353.59,,,
2018-03-31,85365.56,,,
2018-04-30,86115.5,,,
2018-05-31,76753.62,,,
2018-06-30,72762.51,,,
2018-07-31,79220.43,,,
2018-08-31,76677.53,,,
2018-09-30,79342.42,,,
2018-10-31,87423.55,,,
2018-11-30,89504.03,,,
2018-12-31,87887.26,,,
2019-01-31,97393.74,,,
2019-02-28,95584.35,,,
2019-03-31,95414.6,,,
2019-04-30,96353.3,,,
2019-05-31,97030.3,,,
2019-06-30,100967.2,,,
2019-07-31,101812.1,,,
2019-08-31,101134.6,,,
2019-09-30,104745.3,,,
2019-10-31,107219.8,,,
2019-11-30,108233.3,,,
2019-12-31,115645.3,,,
2020-01-31,113760.6,,,
2020-02-29,103134,,,
2020-03-31,73019.8,,,
2020-04-30,80505.9,,,
2020-05-31,87922.4,,,
2020-06-30,95055.8,,,
2020-07-31,102912.2,,,
2020-08-31,99369.1,,,
2020-09-30,95257.6,,,
2020-10-31,93952.400,,,
2020-11-30,109448.4,,,
2020-12-31,119017.2,,,
2021-01-31,115031.9,,,
2021-02-28,111528.8,,,
2021-03-31,116633.7,,,
2021-04-30,118893.8,,,
2021-05-31,126215.7,,,
2021-06-30,125573.6,,,
2021-07-31,121800.8,,,
2021-08-31,118781,,,
2021-09-30,110979.1,,,
2021-10-31,103500.7,,,
2021-11-30,101915.5,,,
2021-12-31,104822.4,,,
2022-01-31,113228.3,,,
2022-02-28,113141.9,,,
2022-03-31,119999.23,,,
2022-04-30,107876.16,,,
2022-05-31,111350.51,,,
2022-06-30,98541.95,,,
2022-07-31,103164.69,,,
2022-08-31,109522.88,,,
2022-09-30,110036.79,,,
2022-10-31,116037.08,,,
2022-11-30,112486.01,,,
2022-12-31,109734.6,,,
2023-01-31,,110992.2188,,
2023-02-28,,116713.7891,,
2023-03-31,,114285.3828,,
2023-04-30,,111352.7656,,
2023-05-31,,107571.2813,,
2023-06-30,,98487.28906,,
