date,data,data_forecast,min_forecast,max_forecast
2013-12-31,453.871,,,
2014-01-31,458.6699,,,
2014-02-28,465.0965,,,
2014-03-31,464.7806,,,
2014-04-30,470.0404,,,
2014-05-31,472.8242,,,
2014-06-30,476.265,,,
2014-07-31,471.9721,,,
2014-08-31,474.5599,,,
2014-09-30,461.3169,,,
2014-10-31,461.3809,,,
2014-11-30,459.6965,,,
2014-12-31,456.5313,,,
2015-01-31,455.8092,,,
2015-02-28,452.1183,,,
2015-03-31,447.7604,,,
2015-04-30,452.5223,,,
2015-05-31,444.4316,,,
2015-06-30,442.485,,,
2015-07-31,443.4764,,,
2015-08-31,443.9924,,,
2015-09-30,446.2552,,,
2015-10-31,447.1977,,,
2015-11-30,439.7938,,,
2015-12-31,442.1315,,,
2016-01-31,445.963,,,
2016-02-29,455.8935,,,
2016-03-31,468.2131,,,
2016-04-30,474.4409,,,
2016-05-31,468.0762,,,
2016-06-30,481.7451,,,
2016-07-31,485.3764,,,
2016-08-31,483.0188,,,
2016-09-30,485.6783,,,
2016-10-31,472.1983,,,
2016-11-30,453.4371,,,
2016-12-31,451.3539,,,
2017-01-31,456.4424,,,
2017-02-28,458.5996,,,
2017-03-31,459.3044,,,
2017-04-30,464.4815,,,
2017-05-31,471.6692,,,
2017-06-30,471.2553,,,
2017-07-31,479.1785,,,
2017-08-31,483.9256,,,
2017-09-30,479.5665,,,
2017-10-31,477.752,,,
2017-11-30,483.0576,,,
2017-12-31,484.7313,,,
2018-01-31,490.5078,,,
2018-02-28,486.1554,,,
2018-03-31,491.33,,,
2018-04-30,483.4603,,,
2018-05-31,479.7931,,,
2018-06-30,477.6598,,,
2018-07-31,476.8624,,,
2018-08-31,477.3626,,,
2018-09-30,473.2476,,,
2018-10-31,467.9612,,,
2018-11-30,469.4245,,,
2018-12-31,478.9153,,,
2019-01-31,486.2068,,,
2019-02-28,483.4082,,,
2019-03-31,489.4602,,,
2019-04-30,488.0109,,,
2019-05-31,494.6193,,,
2019-06-30,505.5858,,,
2019-07-31,504.1809,,,
2019-08-31,514.8742,,,
2019-09-30,509.7306,,,
2019-10-31,512.5915,,,
2019-11-30,508.7047,,,
2019-12-31,511.6712,,,
2020-01-31,516.707,,,
2020-02-29,518.3495,,,
2020-03-31,511.474,,,
2020-04-30,517.7244,,,
2020-05-31,522.2931,,,
2020-06-30,527.0577,,,
2020-07-31,543.5113,,,
2020-08-31,541.8519,,,
2020-09-30,540.9572,,,
2020-10-31,541.783,,,
2020-11-30,551.2971,,,
2020-12-31,558.7254,,,
2021-01-31,554.2254,,,
2021-02-28,544.272,,,
2021-03-31,533.802,,,
2021-04-30,540.5455,,,
2021-05-31,545.6221,,,
2021-06-30,540.8085,,,
2021-07-31,548.1083,,,
2021-08-31,546.1344,,,
2021-09-30,536.1746,,,
2021-10-31,537.4202,,,
2021-11-30,532.0211,,,
2021-12-31,532.4266,,,
2022-01-31,521.5153,,,
2022-02-28,515.3167,,,
2022-03-31,499.6239,,,
2022-04-30,472.2504,,,
2022-05-31,473.5394,,,
2022-06-30,458.3446,,,
2022-07-31,468.0885,,,
2022-08-31,449.6171,,,
2022-09-30,426.5159,,,
2022-10-31,423.5826,,,
2022-11-30,443.5168,,,
2022-12-31,445.9152,,,
2023-01-31,,,,
2023-02-28,,,,
2023-03-31,,,,
2023-04-30,,,,
2023-05-31,,,,
2023-06-30,,,,
