date,data,data_forecast,min_forecast,max_forecast
2013-12-31,42727.09,,,
2014-01-31,40879.75,,,
2014-02-28,38782.89,,,
2014-03-31,40461.6,,,
2014-04-30,40711.56,,,
2014-05-31,41362.51,,,
2014-06-30,42737.17,,,
2014-07-31,43817.69,,,
2014-08-31,45628.09,,,
2014-09-30,44985.66,,,
2014-10-31,45027.52,,,
2014-11-30,44190.47,,,
2014-12-31,43145.66,,,
2015-01-31,40950.58,,,
2015-02-28,44190.17,,,
2015-03-31,43724.78,,,
2015-04-30,44582.39,,,
2015-05-31,44703.62,,,
2015-06-30,45053.7,,,
2015-07-31,44752.93,,,
2015-08-31,43721.96,,,
2015-09-30,42632.54,,,
2015-10-31,44542.76,,,
2015-11-30,43418.55,,,
2015-12-31,42977.5,,,
2016-01-31,43630.77,,,
2016-02-29,43714.93,,,
2016-03-31,45881.08,,,
2016-04-30,45784.77,,,
2016-05-31,45459.45,,,
2016-06-30,45966.49,,,
2016-07-31,46660.67,,,
2016-08-31,47541.32,,,
2016-09-30,47245.8,,,
2016-10-31,48009.28,,,
2016-11-30,45315.96,,,
2016-12-31,45642.9,,,
2017-01-31,47001.06,,,
2017-02-28,46856.79,,,
2017-03-31,48541.56,,,
2017-04-30,49261.33,,,
2017-05-31,48788.44,,,
2017-06-30,49857.49,,,
2017-07-31,51011.88,,,
2017-08-31,51210.48,,,
2017-09-30,50346.06,,,
2017-10-31,48625.53,,,
2017-11-30,47092.45,,,
2017-12-31,49354.42,,,
2018-01-31,50456.17,,,
2018-02-28,47437.93,,,
2018-03-31,46124.85,,,
2018-04-30,48358.16,,,
2018-05-31,44662.55,,,
2018-06-30,47663.2,,,
2018-07-31,49698.01,,,
2018-08-31,49547.68,,,
2018-09-30,49504.16,,,
2018-10-31,43942.55,,,
2018-11-30,41732.78,,,
2018-12-31,41640.27,,,
2019-01-31,43987.94,,,
2019-02-28,42823.8,,,
2019-03-31,43281.28,,,
2019-04-30,44597.32,,,
2019-05-31,42749.16,,,
2019-06-30,43161.17,,,
2019-07-31,40863.09,,,
2019-08-31,42622.5,,,
2019-09-30,43011.27,,,
2019-10-31,43337.28,,,
2019-11-30,42820.18,,,
2019-12-31,43541.02,,,
2020-01-31,44108.31,,,
2020-02-29,41547.33,,,
2020-03-31,34554.53,,,
2020-04-30,36470.11,,,
2020-05-31,36427.31,,,
2020-06-30,37716.43,,,
2020-07-31,37019.68,,,
2020-08-31,36840.73,,,
2020-09-30,36647.77,,,
2020-10-31,36987.860,,,
2020-11-30,41708.18,,,
2020-12-31,44066.88,,,
2021-01-31,43036.06,,,
2021-02-28,44592.91,,,
2021-03-31,47246.26,,,
2021-04-30,48009.72,,,
2021-05-31,50885.95,,,
2021-06-30,50148.01,,,
2021-07-31,50868.32,,,
2021-08-31,53304.74,,,
2021-09-30,51385.55,,,
2021-10-31,51309.84,,,
2021-11-30,49698.72,,,
2021-12-31,53272.43,,,
2022-01-31,51782.67,,,
2022-02-28,53400.61,,,
2022-03-31,56536.68,,,
2022-04-30,51417.97,,,
2022-05-31,51752.53,,,
2022-06-30,47524.45,,,
2022-07-31,48144.33,,,
2022-08-31,44919.22,,,
2022-09-30,44626.8,,,
2022-10-31,49922.3,,,
2022-11-30,51684.86,,,
2022-12-31,48463.86,,,
2023-01-31,,45023.80859,,
2023-02-28,,44521.06641,,
2023-03-31,,44106.61719,,
2023-04-30,,43049.84766,,
2023-05-31,,45344.20313,,
2023-06-30,,45979.51563,,
