date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1915.6,,,
2014-01-31,1837.64,,,
2014-02-28,1935.88,,,
2014-03-31,1915.69,,,
2014-04-30,1936.67,,,
2014-05-31,1956.61,,,
2014-06-30,1972.12,,,
2014-07-31,1932.66,,,
2014-08-31,1924.62,,,
2014-09-30,1846.08,,,
2014-10-31,1818.35,,,
2014-11-30,1839.73,,,
2014-12-31,1774.89,,,
2015-01-31,1782.7,,,
2015-02-28,1886.26,,,
2015-03-31,1849.34,,,
2015-04-30,1918.4,,,
2015-05-31,1898.98,,,
2015-06-30,1842.46,,,
2015-07-31,1879.75,,,
2015-08-31,1736.81,,,
2015-09-30,1644.4,,,
2015-10-31,1771.66,,,
2015-11-30,1741.01,,,
2015-12-31,1716.28,,,
2016-01-31,1591.46,,,
2016-02-29,1558.17,,,
2016-03-31,1652.04,,,
2016-04-30,1693.18,,,
2016-05-31,1667.84,,,
2016-06-30,1608.45,,,
2016-07-31,1689.12,,,
2016-08-31,1685.57,,,
2016-09-30,1701.69,,,
2016-10-31,1665.72,,,
2016-11-30,1629.67,,,
2016-12-31,1684,,,
2017-01-31,1732.38,,,
2017-02-28,1753.09,,,
2017-03-31,1792.98,,,
2017-04-30,1833.7,,,
2017-05-31,1890.06,,,
2017-06-30,1883.19,,,
2017-07-31,1936.91,,,
2017-08-31,1930.82,,,
2017-09-30,1973.81,,,
2017-10-31,2002.54,,,
2017-11-30,2020.13,,,
2017-12-31,2050.79,,,
2018-01-31,2153.05,,,
2018-02-28,2051.73,,,
2018-03-31,2005.67,,,
2018-04-30,2043.66,,,
2018-05-31,1986.17,,,
2018-06-30,1958.64,,,
2018-07-31,2006.06,,,
2018-08-31,1962.05,,,
2018-09-30,1973.6,,,
2018-10-31,1815.17,,,
2018-11-30,1809.56,,,
2018-12-31,1719.88,,,
2019-01-31,1831.09,,,
2019-02-28,1873.72,,,
2019-03-31,1875.43,,,
2019-04-30,1921.49,,,
2019-05-31,1817.39,,,
2019-06-30,1922.3,,,
2019-07-31,1897.12,,,
2019-08-31,1842.58,,,
2019-09-30,1889.36,,,
2019-10-31,1955.48,,,
2019-11-30,1974.47,,,
2019-12-31,2036.94,,,
2020-01-31,1999.03,,,
2020-02-29,1867.64,,,
2020-03-31,1559.59,,,
2020-04-30,1657.69,,,
2020-05-31,1725.09,,,
2020-06-30,1780.58,,,
2020-07-31,1845.95,,,
2020-08-31,1909.99,,,
2020-09-30,1855.32,,,
2020-10-31,1780.090,,,
2020-11-30,2080.15,,,
2020-12-31,2147.53,,,
2021-01-31,2159.65,,,
2021-02-28,2168.87,,,
2021-03-31,2208.32,,,
2021-04-30,2268.51,,,
2021-05-31,2334,,,
2021-06-30,2304.92,,,
2021-07-31,2321.09,,,
2021-08-31,2358.28,,,
2021-09-30,2281.29,,,
2021-10-31,2354.51,,,
2021-11-30,2247.11,,,
2021-12-31,2336.07,,,
2022-01-31,2222.45,,,
2022-02-28,2179.1,,,
2022-03-31,2181.63,,,
2022-04-30,2033.7,,,
2022-05-31,2037.87,,,
2022-06-30,1846.28,,,
2022-07-31,1937.26,,,
2022-08-31,1840.5,,,
2022-09-30,1661.48,,,
2022-10-31,1750,,,
2022-11-30,1944.03,,,
2022-12-31,1943.93,,,
2023-01-31,,1993.542236,,
2023-02-28,,2050.091553,,
2023-03-31,,2065.538818,,
2023-04-30,,2018.903687,,
2023-05-31,,2161.620361,,
2023-06-30,,2146.908447,,
