date,data,data_forecast,min_forecast,max_forecast
2013-12-31,1002.69,,,
2014-01-31,936.53,,,
2014-02-28,966.42,,,
2014-03-31,994.65,,,
2014-04-30,995.28,,,
2014-05-31,1027.69,,,
2014-06-30,1050.78,,,
2014-07-31,1065.77,,,
2014-08-31,1087.88,,,
2014-09-30,1005.33,,,
2014-10-31,1016.07,,,
2014-11-30,1004.72,,,
2014-12-31,956.31,,,
2015-01-31,961.61,,,
2015-02-28,990.28,,,
2015-03-31,974.57,,,
2015-04-30,1047.78,,,
2015-05-31,1004.22,,,
2015-06-30,972.25,,,
2015-07-31,901.68,,,
2015-08-31,818.73,,,
2015-09-30,792.05,,,
2015-10-31,847.84,,,
2015-11-30,814.3,,,
2015-12-31,794.14,,,
2016-01-31,742.37,,,
2016-02-29,740.33,,,
2016-03-31,836.8,,,
2016-04-30,840.19,,,
2016-05-31,807.45,,,
2016-06-30,834.1,,,
2016-07-31,873.47,,,
2016-08-31,893.68,,,
2016-09-30,903.46,,,
2016-10-31,905.09,,,
2016-11-30,862.83,,,
2016-12-31,862.27,,,
2017-01-31,909.23,,,
2017-02-28,936.37,,,
2017-03-31,958.37,,,
2017-04-30,977.96,,,
2017-05-31,1005.33,,,
2017-06-30,1010.8,,,
2017-07-31,1066.23,,,
2017-08-31,1087.7,,,
2017-09-30,1081.72,,,
2017-10-31,1119.08,,,
2017-11-30,1120.79,,,
2017-12-31,1158.45,,,
2018-01-31,1254.59,,,
2018-02-28,1195.19,,,
2018-03-31,1170.88,,,
2018-04-30,1164.43,,,
2018-05-31,1120.71,,,
2018-06-30,1069.52,,,
2018-07-31,1087.46,,,
2018-08-31,1055.96,,,
2018-09-30,1047.91,,,
2018-10-31,955.92,,,
2018-11-30,994.72,,,
2018-12-31,965.78,,,
2019-01-31,1049.93,,,
2019-02-28,1050.95,,,
2019-03-31,1058.13,,,
2019-04-30,1079.24,,,
2019-05-31,998,,,
2019-06-30,1054.86,,,
2019-07-31,1037.01,,,
2019-08-31,984.33,,,
2019-09-30,1001,,,
2019-10-31,1041.98,,,
2019-11-30,1040.05,,,
2019-12-31,1114.66,,,
2020-01-31,1072.79,,,
2020-02-29,1030.67,,,
2020-03-31,848.58,,,
2020-04-30,924.94,,,
2020-05-31,930.35,,,
2020-06-30,993.96,,,
2020-07-31,1082.06,,,
2020-08-31,1101.5,,,
2020-09-30,1082,,,
2020-10-31,1103.460,,,
2020-11-30,1230.72,,,
2020-12-31,1291.26,,,
2021-01-31,1350.59,,,
2021-02-28,1339.26,,,
2021-03-31,1316.43,,,
2021-04-30,1347.61,,,
2021-05-31,1376.21,,,
2021-06-30,1374.64,,,
2021-07-31,1277.81,,,
2021-08-31,1285.39,,,
2021-09-30,1253.1,,,
2021-10-31,1276.07,,,
2021-11-30,1218.99,,,
2021-12-31,1232.01,,,
2022-01-31,1208.23,,,
2022-02-28,1171.31,,,
2022-03-31,1141.79,,,
2022-04-30,1076.19,,,
2022-05-31,1077.67,,,
2022-06-30,1000.67,,,
2022-07-31,993.78,,,
2022-08-31,994.11,,,
2022-09-30,875.79,,,
2022-10-31,848.16,,,
2022-11-30,972.29,,,
2022-12-31,956.38,,,
2023-01-31,,975.2182617,,
2023-02-28,,1044.79834,,
2023-03-31,,1094.408203,,
2023-04-30,,1079.445068,,
2023-05-31,,970.1030273,,
2023-06-30,,845.7463379,,
