date,data,data_forecast,min_forecast,max_forecast
2013-12-31,408.55,,,
2014-01-31,391.92,,,
2014-02-28,410.13,,,
2014-03-31,411.02,,,
2014-04-30,414.09,,,
2014-05-31,421.53,,,
2014-06-30,428.75,,,
2014-07-31,423.04,,,
2014-08-31,431.55,,,
2014-09-30,416.85,,,
2014-10-31,419.45,,,
2014-11-30,425.82,,,
2014-12-31,417.12,,,
2015-01-31,410.33,,,
2015-02-28,432.47,,,
2015-03-31,424.76,,,
2015-04-30,436.3,,,
2015-05-31,434.51,,,
2015-06-30,423.51,,,
2015-07-31,426.78,,,
2015-08-31,396.73,,,
2015-09-30,381.65,,,
2015-10-31,411.25,,,
2015-11-30,407.2,,,
2015-12-31,399.36,,,
2016-01-31,375.02,,,
2016-02-29,371.66,,,
2016-03-31,398.26,,,
2016-04-30,403.34,,,
2016-05-31,402.57,,,
2016-06-30,399.29,,,
2016-07-31,416.09,,,
2016-08-31,416.61,,,
2016-09-30,418.43,,,
2016-10-31,411.01,,,
2016-11-30,413.43,,,
2016-12-31,421.84,,,
2017-01-31,433.13,,,
2017-02-28,444.5,,,
2017-03-31,448.87,,,
2017-04-30,455.17,,,
2017-05-31,463.79,,,
2017-06-30,465.09,,,
2017-07-31,477.58,,,
2017-08-31,478.41,,,
2017-09-30,486.88,,,
2017-10-31,496.62,,,
2017-11-30,505.44,,,
2017-12-31,513.03,,,
2018-01-31,541.67,,,
2018-02-28,518.08,,,
2018-03-31,505.81,,,
2018-04-30,509.69,,,
2018-05-31,508.77,,,
2018-06-30,505.2,,,
2018-07-31,519.82,,,
2018-08-31,522.88,,,
2018-09-30,524.25,,,
2018-10-31,484.57,,,
2018-11-30,490.86,,,
2018-12-31,455.66,,,
2019-01-31,491.19,,,
2019-02-28,503.48,,,
2019-03-31,508.55,,,
2019-04-30,524.84,,,
2019-05-31,492.12,,,
2019-06-30,523.44,,,
2019-07-31,524.35,,,
2019-08-31,510.88,,,
2019-09-30,520.65,,,
2019-10-31,534.41,,,
2019-11-30,546.7,,,
2019-12-31,565.24,,,
2020-01-31,558.62,,,
2020-02-29,521.92,,,
2020-03-31,442.35,,,
2020-04-30,489.17,,,
2020-05-31,509.47,,,
2020-06-30,524.91,,,
2020-07-31,551.89,,,
2020-08-31,584.86,,,
2020-09-30,565.15,,,
2020-10-31,551.000,,,
2020-11-30,623.76,,,
2020-12-31,646.27,,,
2021-01-31,654.5,,,
2021-02-28,657.15,,,
2021-03-31,673.29,,,
2021-04-30,701.83,,,
2021-05-31,711.45,,,
2021-06-30,719.97,,,
2021-07-31,724.21,,,
2021-08-31,740.79,,,
2021-09-30,709.51,,,
2021-10-31,746.98,,,
2021-11-30,738.18,,,
2021-12-31,754.83,,,
2022-01-31,717.38,,,
2022-02-28,698.02,,,
2022-03-31,711.56,,,
2022-04-30,653.67,,,
2022-05-31,652.81,,,
2022-06-30,596.77,,,
2022-07-31,637.72,,,
2022-08-31,613.11,,,
2022-09-30,553.37,,,
2022-10-31,586.37,,,
2022-11-30,630.92,,,
2022-12-31,605.38,,,
2023-01-31,,627.8048706,,
2023-02-28,,643.2351074,,
2023-03-31,,650.8042603,,
2023-04-30,,667.9343262,,
2023-05-31,,672.6395874,,
2023-06-30,,648.1609497,,
