date,data,data_forecast,min_forecast,max_forecast
2013-12-31,16291.31,,,
2014-01-31,14914.53,,,
2014-02-28,14841.07,,,
2014-03-31,14827.83,,,
2014-04-30,14304.11,,,
2014-05-31,14632.38,,,
2014-06-30,15162.1,,,
2014-07-31,15620.77,,,
2014-08-31,15424.59,,,
2014-09-30,16173.52,,,
2014-10-31,16413.76,,,
2014-11-30,17459.85,,,
2014-12-31,17450.77,,,
2015-01-31,17674.39,,,
2015-02-28,18797.94,,,
2015-03-31,19206.99,,,
2015-04-30,19520.01,,,
2015-05-31,20563.15,,,
2015-06-30,20235.73,,,
2015-07-31,20585.24,,,
2015-08-31,18890.48,,,
2015-09-30,17388.15,,,
2015-10-31,19083.1,,,
2015-11-30,19747.47,,,
2015-12-31,19033.71,,,
2016-01-31,17518.3,,,
2016-02-29,16026.76,,,
2016-03-31,16758.67,,,
2016-04-30,16666.05,,,
2016-05-31,17234.98,,,
2016-06-30,15575.92,,,
2016-07-31,16569.27,,,
2016-08-31,16887.4,,,
2016-09-30,16449.84,,,
2016-10-31,17425.02,,,
2016-11-30,18308.48,,,
2016-12-31,19114.37,,,
2017-01-31,19041.34,,,
2017-02-28,19118.99,,,
2017-03-31,18909.26,,,
2017-04-30,19196.74,,,
2017-05-31,19650.57,,,
2017-06-30,20033.43,,,
2017-07-31,19925.18,,,
2017-08-31,19646.24,,,
2017-09-30,20356.28,,,
2017-10-31,22011.61,,,
2017-11-30,22724.96,,,
2017-12-31,22764.94,,,
2018-01-31,23098.29,,,
2018-02-28,22068.24,,,
2018-03-31,21454.3,,,
2018-04-30,22467.87,,,
2018-05-31,22201.82,,,
2018-06-30,22304.51,,,
2018-07-31,22553.72,,,
2018-08-31,22865.15,,,
2018-09-30,24120.04,,,
2018-10-31,21920.46,,,
2018-11-30,22351.06,,,
2018-12-31,20014.77,,,
2019-01-31,20773.49,,,
2019-02-28,21385.16,,,
2019-03-31,21205.81,,,
2019-04-30,22258.73,,,
2019-05-31,20601.19,,,
2019-06-30,21275.92,,,
2019-07-31,21521.53,,,
2019-08-31,20704.37,,,
2019-09-30,21755.84,,,
2019-10-31,22927.04,,,
2019-11-30,23293.91,,,
2019-12-31,23656.62,,,
2020-01-31,23205.18,,,
2020-02-29,21142.96,,,
2020-03-31,18917.01,,,
2020-04-30,20193.69,,,
2020-05-31,22062.39,,,
2020-06-30,22288.14,,,
2020-07-31,21710,,,
2020-08-31,23139.76,,,
2020-09-30,23185.12,,,
2020-10-31,22977.130,,,
2020-11-30,26433.62,,,
2020-12-31,27444.17,,,
2021-01-31,27663.39,,,
2021-02-28,29663.5,,,
2021-03-31,29178.8,,,
2021-04-30,28812.63,,,
2021-05-31,28860.08,,,
2021-06-30,28707.04,,,
2021-07-31,27283.59,,,
2021-08-31,28089.54,,,
2021-09-30,29452.66,,,
2021-10-31,28892.69,,,
2021-11-30,27821.76,,,
2021-12-31,28791.71,,,
2022-01-31,27078.48,,,
2022-02-28,26526.82,,,
2022-03-31,27821.43,,,
2022-04-30,26847.9,,,
2022-05-31,27279.8,,,
2022-06-30,26393.04,,,
2022-07-31,27801.64,,,
2022-08-31,28091.53,,,
2022-09-30,25937.21,,,
2022-10-31,27587.46,,,
2022-11-30,27968.99,,,
2022-12-31,26094.5,,,
2023-01-31,,26026.58203,,
2023-02-28,,27043.43164,,
2023-03-31,,27987.95313,,
2023-04-30,,27895.82031,,
2023-05-31,,27307.58398,,
2023-06-30,,25836.3418,,
