date,data,data_forecast,min_forecast,max_forecast
2013-12-31,2115.978,,,
2014-01-31,2033.083,,,
2014-02-28,2056.302,,,
2014-03-31,2033.306,,,
2014-04-30,2026.358,,,
2014-05-31,2039.213,,,
2014-06-30,2048.327,,,
2014-07-31,2201.562,,,
2014-08-31,2217.2,,,
2014-09-30,2363.87,,,
2014-10-31,2420.178,,,
2014-11-30,2682.835,,,
2014-12-31,3234.677,,,
2015-01-31,3210.363,,,
2015-02-28,3310.303,,,
2015-03-31,3747.899,,,
2015-04-30,4441.655,,,
2015-05-31,4611.744,,,
2015-06-30,4277.222,,,
2015-07-31,3663.725,,,
2015-08-31,3205.986,,,
2015-09-30,3052.782,,,
2015-10-31,3382.561,,,
2015-11-30,3445.405,,,
2015-12-31,3539.182,,,
2016-01-31,2737.6,,,
2016-02-29,2687.979,,,
2016-03-31,3003.915,,,
2016-04-30,2938.323,,,
2016-05-31,2916.616,,,
2016-06-30,2929.606,,,
2016-07-31,2979.339,,,
2016-08-31,3085.491,,,
2016-09-30,3004.703,,,
2016-10-31,3100.492,,,
2016-11-30,3250.035,,,
2016-12-31,3103.637,,,
2017-01-31,3159.166,,,
2017-02-28,3241.733,,,
2017-03-31,3222.514,,,
2017-04-30,3154.658,,,
2017-05-31,3117.178,,,
2017-06-30,3192.427,,,
2017-07-31,3273.028,,,
2017-08-31,3360.81,,,
2017-09-30,3348.943,,,
2017-10-31,3393.342,,,
2017-11-30,3317.188,,,
2017-12-31,3307.172,,,
2018-01-31,3480.833,,,
2018-02-28,3259.408,,,
2018-03-31,3168.896,,,
2018-04-30,3082.232,,,
2018-05-31,3095.474,,,
2018-06-30,2847.418,,,
2018-07-31,2876.401,,,
2018-08-31,2725.25,,,
2018-09-30,2821.35,,,
2018-10-31,2602.783,,,
2018-11-30,2588.188,,,
2018-12-31,2493.896,,,
2019-01-31,2584.573,,,
2019-02-28,2940.954,,,
2019-03-31,3090.758,,,
2019-04-30,3078.339,,,
2019-05-31,2898.696,,,
2019-06-30,2978.878,,,
2019-07-31,2932.506,,,
2019-08-31,2886.237,,,
2019-09-30,2905.189,,,
2019-10-31,2929.056,,,
2019-11-30,2871.981,,,
2019-12-31,3050.124,,,
2020-01-31,2976.528,,,
2020-02-29,2880.304,,,
2020-03-31,2750.296,,,
2020-04-30,2860.082,,,
2020-05-31,2915.431,,,
2020-06-30,2984.674,,,
2020-07-31,3310.007,,,
2020-08-31,3395.677,,,
2020-09-30,3218.052,,,
2020-10-31,3224.532,,,
2020-11-30,3391.755,,,
2020-12-31,3473.069,,,
2021-01-31,3483.069,,,
2021-02-28,3551.4,,,
2021-03-31,3441.912,,,
2021-04-30,3446.856,,,
2021-05-31,3615.477,,,
2021-06-30,3588.781,,,
2021-07-31,3397.357,,,
2021-08-31,3543.94,,,
2021-09-30,3568.167,,,
2021-10-31,3547.336,,,
2021-11-30,3563.887,,,
2021-12-31,3639.775,,,
2022-01-31,3361.44,,,
2022-02-28,3462.306,,,
2022-03-31,3252.203,,,
2022-04-30,3047.063,,,
2022-05-31,3186.427,,,
2022-06-30,3398.616,,,
2022-07-31,3253.238,,,
2022-08-31,3202.138,,,
2022-09-30,3024.39,,,
2022-10-31,2893.483,,,
2022-11-30,3151.335,,,
2022-12-31,3089.258,,,
2023-01-31,,3047.186035,,
2023-02-28,,3134.349609,,
2023-03-31,,3132.118896,,
2023-04-30,,3122.193604,,
2023-05-31,,3093.26001,,
2023-06-30,,3077.743652,,
