date,data,data_forecast,min_forecast,max_forecast
2013-12-31,6749.09,,,
2014-01-31,6510.44,,,
2014-02-28,6809.7,,,
2014-03-31,6598.37,,,
2014-04-30,6780.03,,,
2014-05-31,6844.51,,,
2014-06-30,6743.94,,,
2014-07-31,6730.11,,,
2014-08-31,6819.75,,,
2014-09-30,6622.72,,,
2014-10-31,6546.47,,,
2014-11-30,6722.62,,,
2014-12-31,6566.09,,,
2015-01-31,6749.4,,,
2015-02-28,6946.66,,,
2015-03-31,6773.04,,,
2015-04-30,6960.63,,,
2015-05-31,6984.43,,,
2015-06-30,6520.98,,,
2015-07-31,6696.28,,,
2015-08-31,6247.94,,,
2015-09-30,6061.61,,,
2015-10-31,6361.09,,,
2015-11-30,6356.09,,,
2015-12-31,6242.32,,,
2016-01-31,6083.79,,,
2016-02-29,6097.09,,,
2016-03-31,6174.9,,,
2016-04-30,6241.89,,,
2016-05-31,6230.79,,,
2016-06-30,6504.33,,,
2016-07-31,6724.43,,,
2016-08-31,6781.51,,,
2016-09-30,6899.33,,,
2016-10-31,6954.22,,,
2016-11-30,6783.79,,,
2016-12-31,7142.83,,,
2017-01-31,7099.15,,,
2017-02-28,7263.44,,,
2017-03-31,7322.92,,,
2017-04-30,7203.94,,,
2017-05-31,7519.95,,,
2017-06-30,7312.72,,,
2017-07-31,7372,,,
2017-08-31,7430.62,,,
2017-09-30,7372.76,,,
2017-10-31,7493.08,,,
2017-11-30,7326.67,,,
2017-12-31,7687.77,,,
2018-01-31,7533.55,,,
2018-02-28,7231.91,,,
2018-03-31,7056.61,,,
2018-04-30,7509.3,,,
2018-05-31,7678.2,,,
2018-06-30,7636.93,,,
2018-07-31,7748.76,,,
2018-08-31,7432.42,,,
2018-09-30,7510.2,,,
2018-10-31,7128.1,,,
2018-11-30,6980.24,,,
2018-12-31,6728.13,,,
2019-01-31,6968.85,,,
2019-02-28,7074.73,,,
2019-03-31,7279.19,,,
2019-04-30,7418.22,,,
2019-05-31,7161.71,,,
2019-06-30,7425.63,,,
2019-07-31,7586.78,,,
2019-08-31,7207.18,,,
2019-09-30,7408.21,,,
2019-10-31,7248.38,,,
2019-11-30,7346.53,,,
2019-12-31,7542.44,,,
2020-01-31,7286.01,,,
2020-02-29,6580.61,,,
2020-03-31,5671.96,,,
2020-04-30,5901.21,,,
2020-05-31,6154.5,,,
2020-06-30,6169.74,,,
2020-07-31,5897.76,,,
2020-08-31,5963.57,,,
2020-09-30,5879.45,,,
2020-10-31,5577.270,,,
2020-11-30,6266.19,,,
2020-12-31,6460.52,,,
2021-01-31,6407.46,,,
2021-02-28,6571.47,,,
2021-03-31,6713.63,,,
2021-04-30,6969.81,,,
2021-05-31,7022.61,,,
2021-06-30,7112.85,,,
2021-07-31,7032.3,,,
2021-08-31,7119.7,,,
2021-09-30,7086.42,,,
2021-10-31,7237.57,,,
2021-11-30,7059.45,,,
2021-12-31,7384.54,,,
2022-01-31,7535.78,,,
2022-02-28,7458.25,,,
2022-03-31,7515.68,,,
2022-04-30,7544.55,,,
2022-05-31,7607.66,,,
2022-06-30,7169.28,,,
2022-07-31,7423.43,,,
2022-08-31,7284.15,,,
2022-09-30,6893.81,,,
2022-10-31,7094.53,,,
2022-11-30,7573.05,,,
2022-12-31,7451.74,,,
2023-01-31,,6832.23584,,
2023-02-28,,7341.083984,,
2023-03-31,,7023.712891,,
2023-04-30,,6543.970215,,
2023-05-31,,6323.783203,,
2023-06-30,,7040.865234,,
