date,data,data_forecast,min_forecast,max_forecast
2013-12-31,0.1677,,,
2014-01-31,0.1565,,,
2014-02-28,0.1555,,,
2014-03-31,0.152,,,
2014-04-30,0.1505,,,
2014-05-31,0.151,,,
2014-06-30,0.1552,,,
2014-07-31,0.156,,,
2014-08-31,0.157,,,
2014-09-30,0.1565,,,
2014-10-31,0.1559,,,
2014-11-30,0.154,,,
2014-12-31,0.17125,,,
2015-01-31,0.17125,,,
2015-02-28,0.173,,,
2015-03-31,0.17625,,,
2015-04-30,0.181,,,
2015-05-31,0.184,,,
2015-06-30,0.1865,,,
2015-07-31,0.19175,,,
2015-08-31,0.19855,,,
2015-09-30,0.193,,,
2015-10-31,0.192,,,
2015-11-30,0.243,,,
2015-12-31,0.4295,,,
2016-01-31,0.425,,,
2016-02-29,0.4405,,,
2016-03-31,0.43725,,,
2016-04-30,0.43575,,,
2016-05-31,0.46885,,,
2016-06-30,0.46505,,,
2016-07-31,0.4959,,,
2016-08-31,0.52489,,,
2016-09-30,0.53111,,,
2016-10-31,0.53378,,,
2016-11-30,0.62367,,,
2016-12-31,0.77167,,,
2017-01-31,0.77944,,,
2017-02-28,0.78889,,,
2017-03-31,0.98278,,,
2017-04-30,0.995,,,
2017-05-31,1.06033,,,
2017-06-30,1.22389,,,
2017-07-31,1.23167,,,
2017-08-31,1.23167,,,
2017-09-30,1.23222,,,
2017-10-31,1.24333,,,
2017-11-30,1.37188,,,
2017-12-31,1.56425,,,
2018-01-31,1.5797,,,
2018-02-28,1.67007,,,
2018-03-31,1.88313,,,
2018-04-30,1.90932,,,
2018-05-31,2.0007,,,
2018-06-30,2.09025,,,
2018-07-31,2.08138,,,
2018-08-31,2.11375,,,
2018-09-30,2.26056,,,
2018-10-31,2.30688,,,
2018-11-30,2.34694,,,
2018-12-31,2.50269,,,
2019-01-31,2.51375,,,
2019-02-28,2.49038,,,
2019-03-31,2.4945,,,
2019-04-30,2.4805,,,
2019-05-31,2.4305,,,
2019-06-30,2.398,,,
2019-07-31,2.22975,,,
2019-08-31,2.10025,,,
2019-09-30,2.0315,,,
2019-10-31,1.78138,,,
2019-11-30,1.7085,,,
2019-12-31,1.7625,,,
2020-01-31,1.655,,,
2020-02-29,1.58113,,,
2020-03-31,0.9845,,,
2020-04-30,0.37013,,,
2020-05-31,0.1825,,,
2020-06-30,0.171,,,
2020-07-31,0.15563,,,
2020-08-31,0.15675,,,
2020-09-30,0.14825,,,
2020-10-31,0.149,,,
2020-11-30,0.15475,,,
2020-12-31,0.14388,,,
2021-01-31,0.12288,,,
2021-02-28,0.1185,,,
2021-03-31,0.11113,,,
2021-04-30,0.10725,,,
2021-05-31,0.08588,,,
2021-06-30,0.1005,,,
2021-07-31,0.09575,,,
2021-08-31,0.086,,,
2021-09-30,0.08238,,,
2021-10-31,0.08638,,,
2021-11-30,0.09925,,,
2021-12-31,0.10125,,,
2022-01-31,0.10686,,,
2022-02-28,0.24143,,,
2022-03-31,0.452,,,
2022-04-30,0.80329,,,
2022-05-31,1.11986,,,
2022-06-30,1.78671,,,
2022-07-31,2.36229,,,
2022-08-31,2.55343,,,
2022-09-30,3.14271,,,
2022-10-31,3.80486,,,
2022-11-30,4.142,,,
2022-12-31,4.39157,,,
2023-01-31,,4.607777596,,
2023-02-28,,4.770195961,,
2023-03-31,,5.38477993,,
2023-04-30,,5.746273041,,
2023-05-31,,6.217948914,,
2023-06-30,,6.520916462,,
