date,data,data_forecast,min_forecast,max_forecast
2013-12-31,3.0282,,,
2014-01-31,2.644,,,
2014-02-28,2.6476,,,
2014-03-31,2.718,,,
2014-04-30,2.6459,,,
2014-05-31,2.4759,,,
2014-06-30,2.5304,,,
2014-07-31,2.5578,,,
2014-08-31,2.3431,,,
2014-09-30,2.4888,,,
2014-10-31,2.3353,,,
2014-11-30,2.164,,,
2014-12-31,2.1712,,,
2015-01-31,1.6407,,,
2015-02-28,1.993,,,
2015-03-31,1.9231,,,
2015-04-30,2.0317,,,
2015-05-31,2.1214,,,
2015-06-30,2.3531,,,
2015-07-31,2.1801,,,
2015-08-31,2.2179,,,
2015-09-30,2.0368,,,
2015-10-31,2.1421,,,
2015-11-30,2.206,,,
2015-12-31,2.2694,,,
2016-01-31,1.9209,,,
2016-02-29,1.7347,,,
2016-03-31,1.7687,,,
2016-04-30,1.8333,,,
2016-05-31,1.8458,,,
2016-06-30,1.4697,,,
2016-07-31,1.4531,,,
2016-08-31,1.58,,,
2016-09-30,1.5944,,,
2016-10-31,1.8255,,,
2016-11-30,2.3809,,,
2016-12-31,2.4443,,,
2017-01-31,2.4531,,,
2017-02-28,2.3899,,,
2017-03-31,2.3874,,,
2017-04-30,2.2802,,,
2017-05-31,2.2028,,,
2017-06-30,2.3037,,,
2017-07-31,2.2942,,,
2017-08-31,2.117,,,
2017-09-30,2.3336,,,
2017-10-31,2.3793,,,
2017-11-30,2.4097,,,
2017-12-31,2.4054,,,
2018-01-31,2.705,,,
2018-02-28,2.8606,,,
2018-03-31,2.7389,,,
2018-04-30,2.9531,,,
2018-05-31,2.8586,,,
2018-06-30,2.8601,,,
2018-07-31,2.9598,,,
2018-08-31,2.8604,,,
2018-09-30,3.0612,,,
2018-10-31,3.1435,,,
2018-11-30,2.9879,,,
2018-12-31,2.6842,,,
2019-01-31,2.6293,,,
2019-02-28,2.715,,,
2019-03-31,2.405,,,
2019-04-30,2.5018,,,
2019-05-31,2.1246,,,
2019-06-30,2.0051,,,
2019-07-31,2.0144,,,
2019-08-31,1.4961,,,
2019-09-30,1.6646,,,
2019-10-31,1.691,,,
2019-11-30,1.7758,,,
2019-12-31,1.9175,,,
2020-01-31,1.5068,,,
2020-02-29,1.1748,,,
2020-03-31,0.6695,,,
2020-04-30,0.6393,,,
2020-05-31,0.6803,,,
2020-06-30,0.6561,,,
2020-07-31,0.5282,,,
2020-08-31,0.7048,,,
2020-09-30,0.6742,,,
2020-10-31,0.874,,,
2020-11-30,0.8406,,,
2020-12-31,0.9132,,,
2021-01-31,1.074,,,
2021-02-28,1.4496,,,
2021-03-31,1.7404,,,
2021-04-30,1.6259,,,
2021-05-31,1.5943,,,
2021-06-30,1.473,,,
2021-07-31,1.2223,,,
2021-08-31,1.3088,,,
2021-09-30,1.4873,,,
2021-10-31,1.5521,,,
2021-11-30,1.4443,,,
2021-12-31,1.5101,,,
2022-01-31,1.7875,,,
2022-02-28,1.825,,,
2022-03-31,2.338,,,
2022-04-30,2.9336,,,
2022-05-31,2.8441,,,
2022-06-30,3.0129,,,
2022-07-31,2.6487,,,
2022-08-31,3.1926,,,
2022-09-30,3.8286,,,
2022-10-31,4.0478,,,
2022-11-30,3.6054,,,
2022-12-31,3.8748,,,
2023-01-31,,4.071600914,,
2023-02-28,,3.943997383,,
2023-03-31,,3.49828434,,
2023-04-30,,3.682620049,,
2023-05-31,,3.668367386,,
2023-06-30,,3.425560236,,
