date,data,data_forecast,min_forecast,max_forecast
2013-12-31,207.8381,,,
2014-01-31,207.8951,,,
2014-02-28,208.6294,,,
2014-03-31,209.8556,,,
2014-04-30,210.9044,,,
2014-05-31,211.8163,,,
2014-06-30,212.7961,,,
2014-07-31,213.4053,,,
2014-08-31,213.6634,,,
2014-09-30,214.0321,,,
2014-10-31,214.4008,,,
2014-11-30,214.7175,,,
2014-12-31,215.0333,,,
2015-01-31,215.4683,,,
2015-02-28,216.3896,,,
2015-03-31,218.4156,,,
2015-04-30,220.2743,,,
2015-05-31,221.5381,,,
2015-06-30,222.4048,,,
2015-07-31,222.8086,,,
2015-08-31,223.1349,,,
2015-09-30,223.8753,,,
2015-10-31,225.2444,,,
2015-11-30,226.7949,,,
2015-12-31,228.2684,,,
2016-01-31,229.6616,,,
2016-02-29,231.7793,,,
2016-03-31,234.8577,,,
2016-04-30,237.4155,,,
2016-05-31,239.1436,,,
2016-06-30,240.3319,,,
2016-07-31,241.5402,,,
2016-08-31,242.7495,,,
2016-09-30,242.9697,,,
2016-10-31,242.518,,,
2016-11-30,242.3866,,,
2016-12-31,242.4513,,,
2017-01-31,243.1056,,,
2017-02-28,244.7496,,,
2017-03-31,247.3635,,,
2017-04-30,249.1527,,,
2017-05-31,250.3426,,,
2017-06-30,251.1997,,,
2017-07-31,251.6311,,,
2017-08-31,251.7,,,
2017-09-30,251.8152,,,
2017-10-31,252.0434,,,
2017-11-30,252.1174,,,
2017-12-31,252.3767,,,
2018-01-31,253.0915,,,
2018-02-28,254.2968,,,
2018-03-31,256.0872,,,
2018-04-30,257.2736,,,
2018-05-31,258.193,,,
2018-06-30,259.0903,,,
2018-07-31,259.6147,,,
2018-08-31,259.6286,,,
2018-09-30,259.6209,,,
2018-10-31,259.9911,,,
2018-11-30,260.3484,,,
2018-12-31,260.6658,,,
2019-01-31,261.2207,,,
2019-02-28,262.3272,,,
2019-03-31,263.9424,,,
2019-04-30,265.2377,,,
2019-05-31,266.4925,,,
2019-06-30,267.5501,,,
2019-07-31,268.3377,,,
2019-08-31,268.9929,,,
2019-09-30,269.4002,,,
2019-10-31,269.8413,,,
2019-11-30,270.3574,,,
2019-12-31,270.7132,,,
2020-01-31,271.2074,,,
2020-02-29,272.0984,,,
2020-03-31,273.6304,,,
2020-04-30,275.2972,,,
2020-05-31,276.3228,,,
2020-06-30,276.0795,,,
2020-07-31,275.0963,,,
2020-08-31,274.59,,,
2020-09-30,274.5754,,,
2020-10-31,274.987,,,
2020-11-30,275.3585,,,
2020-12-31,275.0626,,,
2021-01-31,275.4015,,,
2021-02-28,276.4724,,,
2021-03-31,277.9523,,,
2021-04-30,279.5691,,,
2021-05-31,281.0856,,,
2021-06-30,283.3868,,,
2021-07-31,284.6369,,,
2021-08-31,285.033,,,
2021-09-30,286.1156,,,
2021-10-31,287.2502,,,
2021-11-30,287.8627,,,
2021-12-31,288.6191,,,
2022-01-31,290.4728,,,
2022-02-28,293.6781,,,
2022-03-31,298.7784,,,
2022-04-30,302.6269,,,
2022-05-31,306.0926,,,
2022-06-30,309.2286,,,
2022-07-31,311.3411,,,
2022-08-31,313.4107,,,
2022-09-30,316.2371,,,
2022-10-31,319.368,,,
2022-11-30,321.9546,,,
2022-12-31,324.3933,,,
2023-01-31,,328.9825745,,
2023-02-28,,330.4010925,,
2023-03-31,,331.976532,,
2023-04-30,,333.3785095,,
2023-05-31,,334.6878967,,
2023-06-30,,335.8326416,,
