date,data,data_forecast,min_forecast,max_forecast
2013-12-31,135.1443683,,,
2014-01-31,135.5119693,,,
2014-02-28,135.8448553,,,
2014-03-31,136.2143615,,,
2014-04-30,136.5783347,,,
2014-05-31,136.9659637,,,
2014-06-30,137.4048466,,,
2014-07-31,137.8642224,,,
2014-08-31,138.3217917,,,
2014-09-30,138.8566088,,,
2014-10-31,139.3766847,,,
2014-11-30,139.8481047,,,
2014-12-31,140.4057544,,,
2015-01-31,140.914638,,,
2015-02-28,141.3912599,,,
2015-03-31,141.937945,,,
2015-04-30,142.4523818,,,
2015-05-31,142.951443,,,
2015-06-30,143.5041605,,,
2015-07-31,144.0416434,,,
2015-08-31,144.5811394,,,
2015-09-30,145.1108559,,,
2015-10-31,145.6672983,,,
2015-11-30,146.3055206,,,
2015-12-31,146.9856737,,,
2016-01-31,147.6409879,,,
2016-02-29,148.3839884,,,
2016-03-31,149.1634246,,,
2016-04-30,149.9135544,,,
2016-05-31,150.8102629,,,
2016-06-30,151.6890523,,,
2016-07-31,152.5641413,,,
2016-08-31,153.5972168,,,
2016-09-30,154.5424455,,,
2016-10-31,155.5252931,,,
2016-11-30,156.4823871,,,
2016-12-31,157.4303417,,,
2017-01-31,158.4316908,,,
2017-02-28,159.3080134,,,
2017-03-31,160.2496524,,,
2017-04-30,161.0814837,,,
2017-05-31,161.9949765,,,
2017-06-30,162.802083,,,
2017-07-31,163.5716539,,,
2017-08-31,164.3160887,,,
2017-09-30,164.9854632,,,
2017-10-31,165.7218496,,,
2017-11-30,166.3801469,,,
2017-12-31,166.9947364,,,
2018-01-31,167.6935654,,,
2018-02-28,168.2607629,,,
2018-03-31,168.8706036,,,
2018-04-30,169.4986453,,,
2018-05-31,170.0988818,,,
2018-06-30,170.6623176,,,
2018-07-31,171.286206,,,
2018-08-31,171.8927728,,,
2018-09-30,172.4424856,,,
2018-10-31,173.0926187,,,
2018-11-30,173.6857756,,,
2018-12-31,174.3008398,,,
2019-01-31,174.9180821,,,
2019-02-28,175.4774699,,,
2019-03-31,176.0587217,,,
2019-04-30,176.7023377,,,
2019-05-31,177.3280843,,,
2019-06-30,177.8951792,,,
2019-07-31,178.5658698,,,
2019-08-31,179.1982156,,,
2019-09-30,179.8122953,,,
2019-10-31,180.449055,,,
2019-11-30,181.067421,,,
2019-12-31,181.7086255,,,
2020-01-31,182.3521006,,,
2020-02-29,182.956124,,,
2020-03-31,183.5919252,,,
2020-04-30,184.1482801,,,
2020-05-31,184.6442631,,,
2020-06-30,185.0564337,,,
2020-07-31,185.4449377,,,
2020-08-31,185.7957188,,,
2020-09-30,186.0921127,,,
2020-10-31,186.3665115,,,
2020-11-30,186.632444,,,
2020-12-31,186.9076395,,,
2021-01-31,187.1832408,,,
2021-02-28,187.4325203,,,
2021-03-31,187.7088956,,,
2021-04-30,187.9767435,,,
2021-05-31,188.2539212,,,
2021-06-30,188.5225469,,,
2021-07-31,188.8005294,,,
2021-08-31,189.0789218,,,
2021-09-30,189.3499978,,,
2021-10-31,189.6763505,,,
2021-11-30,190.0616952,,,
2021-12-31,190.4911803,,,
2022-01-31,190.9902259,,,
2022-02-28,191.5657259,,,
2022-03-31,192.2049095,,,
2022-04-30,192.9772277,,,
2022-05-31,193.9295769,,,
2022-06-30,194.860577,,,
2022-07-31,196.061153,,,
2022-08-31,197.5014285,,,
2022-09-30,198.9053166,,,
2022-10-31,200.5319463,,,
2022-11-30,202.2594143,,,
2022-12-31,204.1252933,,,
2023-01-31,,204.7307892,,
2023-02-28,,205.3399506,,
2023-03-31,,205.9254456,,
2023-04-30,,206.5293579,,
2023-05-31,,207.1516266,,
2023-06-30,,207.7618256,,
